,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
0,1.0,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CJBJHOAVZSMMDJ
1,0.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,IDYZIJYBMGIQMJ
2,1.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,OGJPXUAPXNRGGI-UHFFFAOYSA-N,OGJPXUAPXNRGGI
3,1.0,Nc1nc(=O)c2c(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,WBXPDJSOTKVWSJ-UHFFFAOYSA-N,WBXPDJSOTKVWSJ
4,1.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,WLGIWVFFGMPRLM-SLHNCBLASA-N,WLGIWVFFGMPRLM
5,1.0,O=C(O)C1O[C@@H](Oc2ccc([C@@H]3C(CC[C@H](O)c4ccc(F)cc4)C(=O)N3c3ccc(F)cc3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,UOFYCFMTERCNEW-SGSUOIHRSA-N,UOFYCFMTERCNEW
6,1.0,CCCCC[C@H](O)C=C[C@H]1OC(O)C[C@H](O)[C@@H]1CC=CCCCC(=O)O,XNRNNGPBEPRNAR-YLQJXANPSA-N,XNRNNGPBEPRNAR
7,1.0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,OVBPIULPVIDEAO
8,1.0,CN1c2c([nH]c(N)nc2=O)NC[C@@H]1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,ZNOVTXRBGFNYRX-UEWDXFNNSA-N,ZNOVTXRBGFNYRX
9,1.0,Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,IRSCQMHQWWYFCW-UHFFFAOYSA-N,IRSCQMHQWWYFCW
10,1.0,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N,MKUXAQIIEYXACX
