,status_influx,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
0,1.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,OGJPXUAPXNRGGI-UHFFFAOYSA-N,OGJPXUAPXNRGGI
1,1.0,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,VWPOSFSPZNDTMJ-UHFFFAOYSA-N,VWPOSFSPZNDTMJ
2,1.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BHQCQFFYRZLCQQ-OELDTZBJSA-N,BHQCQFFYRZLCQQ
3,0.0,NCCc1ccc(Oc2ccc(O)cc2)c(I)c1,XIINYOJWNGOUPF-UHFFFAOYSA-N,XIINYOJWNGOUPF
4,0.0,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,HPNSFSBZBAHARI-UHFFFAOYSA-N,HPNSFSBZBAHARI
5,0.0,COc1c(C)c2c(c(OC3OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c1CC=C(C)CCC(=O)O)C(=O)OC2,BYFGTSAYQQIUCN-URYOTEEKSA-N,BYFGTSAYQQIUCN
6,0.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SNGREZUHAYWORS-UHFFFAOYSA-N,SNGREZUHAYWORS
7,0.0,NC(CCC(=O)NC(CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)O)C(=O)O,FXEUKVKGTKDDIQ-UHFFFAOYSA-N,FXEUKVKGTKDDIQ
8,0.0,CCOc1ccc(CC(CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,AQOXEJNYXXLRQQ-UHFFFAOYSA-N,AQOXEJNYXXLRQQ
9,1.0,CC(C)n1c(C=C[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,FJLGEFLZQAZZCD-OALUTQOASA-N,FJLGEFLZQAZZCD
10,1.0,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,GJPICJJJRGTNOD-UHFFFAOYSA-N,GJPICJJJRGTNOD
11,1.0,Cc1ccccc1C(=O)N1CCC(=NOS(=O)(=O)O)c2ccc(Cl)cc21,QQCSUWGQBREWRO-UHFFFAOYSA-N,QQCSUWGQBREWRO
12,1.0,Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,XYBSIYMGXVUVGY-UHFFFAOYSA-N,XYBSIYMGXVUVGY
13,1.0,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,RZXIRSKYBISPGF-UHFFFAOYSA-N,RZXIRSKYBISPGF
14,1.0,O=C(O)c1ccc(NC(=O)C(CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,GKMLFBRLRVQVJO-UHFFFAOYSA-N,GKMLFBRLRVQVJO
15,1.0,COCc1c(-c2ccc(F)cc2)c(=CC[C@@H](O)C[C@@H](O)CC(=O)O)c(C(C)C)nc1=C(C)C,CDHNVTRRQNLWKA-WOJBJXKFSA-N,CDHNVTRRQNLWKA
16,1.0,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,UCHDWCPVSPXUMX-JGCGQSQUSA-N,UCHDWCPVSPXUMX
17,1.0,Cc1ccc(-n2[nH]c(C)c(N=Nc3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C,SVOQIEJWJCQGDQ-UHFFFAOYSA-N,SVOQIEJWJCQGDQ
18,1.0,O=C(O)C[C@H](O)C[C@H](O)CCn1c(-c2ccc(F)cc2)nc(C(=O)NCc2cccc(F)c2)c1C1CC1,MTCOKKTVNVFMCS-FGZHOGPDSA-N,MTCOKKTVNVFMCS
