,status_pampa,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
0,0.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,OGJPXUAPXNRGGI-UHFFFAOYSA-N,OGJPXUAPXNRGGI
1,0.0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,JYGXADMDTFJGBT-VWUMJDOOSA-N,JYGXADMDTFJGBT
2,0.0,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,GJFCONYVAUNLKB-CXSFZGCWSA-N,GJFCONYVAUNLKB
3,0.0,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,DKYWVDODHFEZIM-UHFFFAOYSA-N,DKYWVDODHFEZIM
4,0.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,ZEKZLJVOYLTDKK-UHFFFAOYSA-N,ZEKZLJVOYLTDKK
5,0.0,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,PJVWKTKQMONHTI-UHFFFAOYSA-N,PJVWKTKQMONHTI
6,1.0,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,OPXLLQIJSORQAM-UHFFFAOYSA-N,OPXLLQIJSORQAM
7,1.0,C[C@]12CCC(=O)C=C1CC[C@@H]1C2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,MFYSYFVPBJMHGN-VLNSYWPESA-N,MFYSYFVPBJMHGN
8,1.0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,LNEPOXFFQSENCJ
9,0.0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)C(C(=O)CO)CC[C@@H]12,PQSUYGKTWSAVDQ-LNXQYSHSSA-N,PQSUYGKTWSAVDQ
10,1.0,CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,MNRHZPCIEGLWGK-MWXAKFKLSA-N,MNRHZPCIEGLWGK
11,1.0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)C(C(=O)CO)CC[C@@H]12,OMFXVFTZEKFJBZ-ORVDRNQDSA-N,OMFXVFTZEKFJBZ
12,1.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,LTMHDMANZUZIPE-PUGKRICDSA-N,LTMHDMANZUZIPE
13,1.0,CN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1N,RNWLAFWLSSMCLN-UHFFFAOYSA-N,RNWLAFWLSSMCLN
14,0.0,CSc1nc(NCCc2ccc(C)cc2)c2cnn(CC(Cl)c3ccccc3)c2n1,SNWKJSWMWRHVNL-UHFFFAOYSA-N,SNWKJSWMWRHVNL
15,1.0,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,YOZBGTLTNGAVFU-UHFFFAOYSA-N,YOZBGTLTNGAVFU
16,1.0,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4ccccc4o3)cc2)c1O,PLLGXMASDDMGST-UHFFFAOYSA-N,PLLGXMASDDMGST
17,1.0,Cc1cc(NC(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc2n1,HKBWOXBDEAYKGA-UHFFFAOYSA-N,HKBWOXBDEAYKGA
18,1.0,Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1F)nc2[C@H]1CC[C@H](CO)CC1,DBVAFYOHTCCGQW-IRJFHVNHSA-N,DBVAFYOHTCCGQW
19,0.0,COCCNC(=O)NS(=O)(=O)c1ccc(Oc2c(F)cc(/C=C(\C)C(=O)N=C(N)N)cc2F)cc1,IVEWCDNILFGHAV-FMIVXFBMSA-N,IVEWCDNILFGHAV
20,1.0,CCCCN(CCCC)C[C@H]1C2=CC3C(=O)c4c(O)cc(O)c(CC=C(C)C)c4O[C@@]34[C@@H]1COC4(CC=C(C)C)C2=O,AMDJHBDMFRJFPE-WCFYFDPBSA-N,AMDJHBDMFRJFPE
21,0.0,O=C1N=C(N2CCOCC2)S/C1=C\c1ccc(-c2ccc(C(=O)O)c(O)c2)o1,GFVODCJPYDHGDZ-YBEGLDIGSA-N,GFVODCJPYDHGDZ
22,1.0,O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,ISVMYZOITFYUKN-UHFFFAOYSA-N,ISVMYZOITFYUKN
23,1.0,CS(=O)(=O)c1ccc(C(=O)OCC(=O)NC23CC4CC(CC(C4)C2)C3)cc1[N+](=O)[O-],BTXTVUJWNPMQBT-UHFFFAOYSA-N,BTXTVUJWNPMQBT
24,1.0,O=C1CCCc2cc(OCc3ccc(F)cc3)ccc21,OJOVCIYZZGJNJH-UHFFFAOYSA-N,OJOVCIYZZGJNJH
25,1.0,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)oc2c1,RRTQIJJHXQOLEO-UHFFFAOYSA-N,RRTQIJJHXQOLEO
26,1.0,O=C1CN(S(=O)(=O)c2ccc(Cl)cc2)C(=O)CN1S(=O)(=O)c1ccc(Cl)cc1,NKHCRCPMJAYOND-UHFFFAOYSA-N,NKHCRCPMJAYOND
27,1.0,O=C1/C(=C/c2ccc(OCCN3CCCCC3)cc2)Oc2cc(O)ccc21,JFLDOESXEQQPLB-STZFKDTASA-N,JFLDOESXEQQPLB
