"ID"	"ParentSmiles"	"Status_Influx"	"Status_Efflux"	"Status_PAMPA"	"Status_BBB"	"Status_CNS"	"LogP"	"TPSA"	"LogS"	"LogD"	"HBA"	"HBD"	"MW"	"RotatableBonds"	"TestValTrain_Influx"	"TestValTrain_Efflux"	"TestValTrain_PAMPA"	"TestValTrain_BBB"	"TestValTrain_CNS"	"MACCS"	"Properties_PredictionScore_Influx"	"Properties_Prediction_Influx"	"MACCS_PredictionScore_Influx"	"MACCS_Prediction_Influx"	"Combined_PredictionScore_Influx"	"Combined_Prediction_Influx"	"Properties_PredictionScore_Efflux"	"Properties_Prediction_Efflux"	"MACCS_PredictionScore_Efflux"	"MACCS_Prediction_Efflux"	"Combined_PredictionScore_Efflux"	"Combined_Prediction_Efflux"	"Properties_PredictionScore_PAMPA"	"Properties_Prediction_PAMPA"	"MACCS_PredictionScore_PAMPA"	"MACCS_Prediction_PAMPA"	"Combined_PredictionScore_PAMPA"	"Combined_Prediction_PAMPA"	"Properties_PredictionScore_BBB"	"Properties_Prediction_BBB"	"MACCS_PredictionScore_BBB"	"MACCS_Prediction_BBB"	"Combined_PredictionScore_BBB"	"Combined_Prediction_BBB"
1	"NC(=O)NO"	1	0	NA	1	0	-1.36	75.35	0.55	-1.54	2	3	76.027277368	0	"Test"	"Val"	NA	"Val"	"Val"	"0000000000000000000000010000000000001000001000000000010000000000000110110000100000010000000001100000010001000100000010000001000000100000001001000000001001010110100100"	0.769836187362671	1	0.377540677785873	0	0.377540677785873	0	0.102990731596947	0	0.2464479804039	0	0.633080363273621	1	NA	NA	NA	NA	NA	NA	0.872446954250336	1	0.785539627075195	1	0.789307296276093	1
2	"CCC(Cc1c(I)cc(I)c(NC(=O)CCCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)c1I)C(=O)O"	1	NA	NA	NA	NA	1.37	254.42	-0.03	-3.41	10	7	1059.012065848	27	"Train"	NA	NA	NA	NA	"0000000000000000000000000010000000000000000000000000000000000000000000000000001001001110011100100001000100100110010111000110000110111111011101010111011011111111111110"	0.271688967943192	0	0.45918196439743	0	0.483339488506317	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1"	1	1	NA	NA	0	2.78	140.42	-4.09	3.26	8	3	547.235221524	11	"Test"	"Train"	NA	NA	"Train"	"0000000000000000000000100000000110000000000000000010011011111001001000011100000110110101111001110001110111011111001010010111111111111011111101101111101111111111111110"	0.129280760884285	0	0.5	0	0.125615060329437	0	0.741180896759033	1	0.615593433380127	1	0.612554967403412	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21"	1	0	0	NA	0	-0.79	85.77	-2.52	-2.83	6	2	320.128468624	3	"Val"	"Train"	"Val"	NA	"Train"	"0000000000000000000000000000000000000100010000000000000000000100100000000010101101001110101000001101000110100010110001011110101010101111111001111111011111111111111110"	0.510339677333832	1	0.289050489664078	0	0.344327598810196	0	0.656469821929932	1	0.585043251514435	1	0.465057045221329	0	0.0324930064380169	0	0.540451943874359	1	0.222700133919716	0	NA	NA	NA	NA	NA	NA
5	"COc1c(N2CCNC(C)C2)c(F)cc2c1n(C1CC1)cc(C(=O)O)c2=O"	1	NA	NA	NA	NA	-0.08	82.11	-3.38	-2.26	6	2	375.159434404	4	"Test"	NA	NA	NA	NA	"0000000000000000000001000000000000000000010000000000000000000100100000000010001101001110101010101101000110110010101100011110111010101111111101111111111111011111111110"	0.695815920829773	1	0.289050489664078	0	0.344327598810196	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21"	1	1	0	NA	0	-0.81	72.88	-2.64	-3.04	5	2	319.133219656	3	"Train"	"Train"	"Train"	NA	"Train"	"0000000000000000000000000000000000000000010000000000000000000100100000000010001101001110101000001101000110100010110001011110101010101111111001111111011111111111111110"	0.631353735923767	1	0.383744597434998	0	0.443574696779251	0	0.426108747720718	0	0.544388294219971	1	0.420078992843628	0	0.258905440568924	0	0.433725595474243	0	0.371683835983276	0	NA	NA	NA	NA	NA	NA
7	"CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1"	1	NA	NA	NA	NA	2.87	95.58	-1.33	0.85	4	4	328.178692628	8	"Test"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000000000000110000000000000000000000000001010000110100101001000100000110101110000000101110110000001001111110011111111111111110"	0.236914396286011	0	0.289050489664078	0	0.125615060329437	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	"CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2"	1	1	NA	NA	NA	1.22	81.95	0.51	-0.86	5	4	309.194008344	5	"Train"	"Val"	NA	NA	NA	"0000000000000000000000000000000000000000000000000000010000000000010000010100000001000000010000101001000110001001100100000000011110110000011110111100111110111111111110"	0.792252719402313	1	0.54081803560257	1	0.549834012985229	1	0.255391865968704	0	0.839184641838074	1	0.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	"CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1"	1	0	NA	NA	0	0.41	78.43	0.56	-1.54	4	3	272.1194635	6	"Test"	"Val"	NA	NA	"Test"	"0000000000000000000000000000000110000000000000000010011001011000001010001100000001000001000011100001010101000001000110000001000001111011001011000101101110111111111110"	0.463828325271606	0	0.122747369110584	0	0.698193430900574	1	0.35302397608757	0	0.247663781046867	0	0.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	"C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O"	1	1	NA	NA	0	2.02	97.99	-0.98	-0.36	4	4	408.28757438	4	"Train"	"Val"	NA	NA	"Val"	"0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000011000010000000110010001001101000010001110110000001110101110110101101011001110"	0.738541424274445	1	0.363455802202225	0	0.559713661670685	1	0.887162148952484	1	0.352802872657776	0	0.792567431926727	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	"NCCc1ccc(Oc2ccc(O)cc2)c(I)c1"	0	NA	NA	NA	NA	2.35	55.48	-1.7	0.64	3	2	355.006926688	4	"Train"	NA	NA	NA	NA	"0000000000000000000000000010000000000000000000000000000000000000000000000000000001010010000000000001000100100010100000000000111000100100001000111010011110101110111110"	0.202391594648361	0	0.569546222686768	1	0.443574696779251	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	"COc1c(C)c2c(C(=O)OC2)c(O)c1CC=C(C)CCC(=O)O"	0	NA	NA	NA	NA	3.8	93.06	-2.24	0.76	5	2	320.12598836	6	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000000000100000010000000000000000001000000100000111010010010000110011000101100000010011110110001101110110110110111101011011110"	0.386075228452682	0	0.450166016817093	0	0.358530253171921	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	"COc1c(C)c2c(C(=O)OC2)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1CC=C(C)CCC(=O)O"	0	NA	NA	NA	NA	0.27	189.28	0.3	-4.73	10	5	496.158076336	9	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000000000100110010000000000000010001000000100000110010010110000110011000101100010010011110110001101110111110110111101011011110"	0.273170977830887	0	0.470035970211029	0	0.495714396238327	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	"O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"	0	NA	NA	NA	NA	4.19	37.3	-1.2	1.83	1	1	413.973702572	6	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001100001000000000010000000000100001000000000000001001010000100"	0.191867128014565	0	0.3606316447258	0	0.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	"N[C@@H](CC(=O)O)C(=O)O"	0	NA	NA	NA	0	-1.04	100.62	0.88	-4.37	3	3	133.037507704	3	"Train"	NA	NA	NA	"Val"	"0000000000000000000000000000000000000000000000000000110000000000000000000000000000010000010000101000000100000010000000000010000000110001001100000100001001111110100100"	0.414255261421204	0	0.569546222686768	1	0.532879292964935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
