,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
53,65,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.0,,,0.0,0.0,2.1,83.65,-1.4,0.29,3,2,270.103813436,5,Train,,,Val,Train,0000000000000000000000000000000110001000001000000010001001111001001010001000100011000001111001001001010101000111011111000001000001100001000001000111101011110111111110,0.332244217395782,0.0,0.410959541797638,0.0,0.632785677909851,1.0,,,,,,,,,,,,,0.289994925260544,0.0,0.715931594371796,1.0,0.863903999328613,1.0,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,JLRGJRBPOGGCBT-UHFFFAOYSA-N,JLRGJRBPOGGCBT
56,68,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,1.0,1.0,,1.0,0.0,-1.61,134.99,-1.93,-1.73,8,4,255.096753896,5,Train,Train,,Val,Test,0000000000000000000000001001000000000100001000000000100000000000100000010010101101111000111100111101000011001100100010011100011010111010111101100101001111111110111110,0.298717170953751,0.0,0.385405480861664,0.0,0.401312351226807,0.0,0.529009580612183,1.0,0.544388294219971,1.0,0.465057045221329,0.0,,,,,,,0.541757643222809,1.0,0.487807333469391,0.0,0.731058597564697,1.0,Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,IRSCQMHQWWYFCW-UHFFFAOYSA-N,IRSCQMHQWWYFCW
57,69,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,1.0,1.0,,1.0,,-1.37,114.76,-2.17,-1.46,7,3,225.086189212,4,Test,Train,,Val,,0000000000000000000000001001000000000100001000000000000000000000100000010010101101111100001100111101000111001100100010011100011010111010111001100111001011111110111110,0.41763961315155,0.0,0.768524825572968,1.0,0.768524825572968,1.0,0.571928799152374,1.0,0.441409647464752,0.0,0.549834012985229,1.0,,,,,,,0.527844250202179,1.0,0.487807333469391,0.0,0.339243620634079,0.0,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N,MKUXAQIIEYXACX
59,74,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,1.0,,,1.0,,4.37,3.24,-2.77,3.66,1,0,243.1986998,2,Train,,,Val,,0000000000000000000000000000000000000000000000000000000000000100010000000010000000001100000000000101000000000011000001001100000110001000110000001011000010010100111010,0.271739095449448,0.0,0.362706512212753,0.0,0.357388705015182,0.0,,,,,,,,,,,,,0.981025636196136,1.0,0.868716239929199,1.0,0.863903999328613,1.0,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,JTJMJGYZQZDUJJ-UHFFFAOYSA-N,JTJMJGYZQZDUJJ
72,91,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,1.0,,,0.0,,0.29,84.58,0.57,-1.85,4,3,266.163042564,8,Train,,,Val,,0000000000000000000000000000000000000000000000000000010000000000000000010100000001010000010100101001000100001110100110000000011000110000011001100100101111111111111110,0.692453265190125,1.0,0.363866657018661,0.0,0.549834012985229,1.0,,,,,,,,,,,,,0.0562052354216576,0.0,0.785539627075195,1.0,0.364576458930969,0.0,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,METKIMKYRPQLGS-LBPRGKRZSA-N,METKIMKYRPQLGS
73,92,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1.0,,,0.0,0.0,1.16,129.62,-3.14,1.16,7,3,253.107593352,1,Test,,,Val,Train,0000000000000000000000001000000000000100000000000000100000000100100000000000101100010000000000000100000011000000000000011000100000101010100001011000011000010100111010,0.104047633707523,0.0,0.159497484564781,0.0,0.125615060329437,0.0,,,,,,,,,,,,,0.061326015740633,0.0,0.791391491889954,1.0,0.777299880981445,1.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,FNYLWPVRPXGIIP-UHFFFAOYSA-N,FNYLWPVRPXGIIP
80,100,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,1.0,,,0.0,1.0,-1.36,46.53,-1.92,-0.77,3,1,318.20637017609,4,Train,,,Test,Test,0000000000000000000000000000010000000000000000001000000000000000010000010110000000101100011010111001000000010011001101001110011000010000111000100111100111001111111110,0.703615307807922,1.0,0.513633012771606,1.0,0.459842771291733,0.0,,,,,,,,,,,,,0.269015908241272,0.0,0.487807333469391,0.0,0.174285307526588,0.0,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,ANGKOCUUWGHLCE-UHFFFAOYSA-N,ANGKOCUUWGHLCE
733,795,Cc1c(CCN2CCC(c3noc4cc(F)ccc34)CC2)c(=O)n2CCCCc2n1,0.0,1.0,,1.0,,2.51,61.94,-3.28,1.81,6,0,410.211804324,4,Val,Train,,Test,,0000000000000000000000000000000000000100010000000000000010000100100000100010100100101110000101011101010010110110100111011101101110000100110001111011010111110111111110,0.0208290703594685,0.0,0.218790754675865,0.0,0.125615060329437,0.0,0.632437705993652,1.0,0.502727210521698,1.0,0.607392251491547,1.0,,,,,,,0.824514985084534,1.0,0.868716239929199,1.0,0.863903999328613,1.0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,RAPZEAPATHNIPO-UHFFFAOYSA-N,RAPZEAPATHNIPO
736,799,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0.0,0.0,,1.0,1.0,2.79,69.64,-2.12,2.68,6,0,385.247775232,6,Train,Train,,Val,Train,0000000000000000000000001000000000000000000000000000000000000100110000000010101100001100100100010101000011000111000011011100001110011011110001101011010011110110111110,0.221305593848228,0.0,0.363455802202225,0.0,0.359279036521912,0.0,0.315452575683594,0.0,0.625940144062042,1.0,0.452996343374252,0.0,,,,,,,0.966815531253815,1.0,0.791391491889954,1.0,0.863903999328613,1.0,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,QWCRAEMEVRGPNT-UHFFFAOYSA-N,QWCRAEMEVRGPNT
978,1098,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,0.0,,0.0,,0.03,135.12,-2.54,0.0,5,3,296.964475416,1,,Train,,Test,,0000000000000000000000000001000110010000001000000010101001111001001010001000100111010011000001001101011011100001000010011001001001100111100101111101011010010110111110,,,,,,,0.755548775196075,1.0,0.5,0.0,0.425557494163513,0.0,,,,,,,0.177466690540314,0.0,0.715931594371796,1.0,0.143598973751068,0.0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,JZUFKLXOESDKRF-UHFFFAOYSA-N,JZUFKLXOESDKRF
1069,1207,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,,0.0,,1.0,1.0,2.38,58.2,-3.7,2.38,2,2,252.089877624,2,,Train,,Val,Train,0000000000000000000000000000000000001000001000000000010000000100010000000000101000100000100100111000000001000101000010011000101000100001100001101000011001010110111110,,,,,,,0.313398987054825,0.0,0.446812152862549,0.0,0.429562479257584,0.0,,,,,,,0.974665880203247,1.0,0.46161413192749,0.0,0.863903999328613,1.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CXOFVDLJLONNDW-UHFFFAOYSA-N,CXOFVDLJLONNDW
