,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
15,20,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,0.0,,,0.0,0.0,1.86,95.94,0.42,-1.43,5,2,376.199821996,9,Val,,,Train,Val,0000000000000000000000000000000000000000000000000000000000000000000000000010001000101000011100110001000100011110010011001110010100100001111101000111111011111111111110,0.88851672410965,1.0,0.159497484564781,0.0,0.344327598810196,0.0,,,,,,,,,,,,,0.254211783409119,0.0,0.617543995380402,1.0,0.383229702711105,0.0,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,GBXSMTUPTTWBMN-UHFFFAOYSA-N,GBXSMTUPTTWBMN
62,77,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1.0,,,1.0,,2.33,90.71,-4.07,1.68,5,2,255.007850584,1,Val,,,Train,,0000000000000000000000001000000000000100000000000001100000000100100000000000101100010010000001000100001001100000000000011001100000101110100001011000011000010100111010,0.0208290703594685,0.0,0.122747369110584,0.0,0.125615060329437,0.0,,,,,,,,,,,,,0.585778951644897,1.0,0.567762315273285,1.0,0.532562553882599,1.0,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,PYZRQGJRPPTADH-UHFFFAOYSA-N,PYZRQGJRPPTADH
78,98,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,1.0,,,0.0,,-1.17,46.53,-2.81,-0.43,3,1,352.19072011209,4,Train,,,Train,,0000000000000000000000000000010000000000000000001000000000000000010000010010000000001100000010100101000010000011001101001110111010010000111000101111000111001111111110,0.63981693983078,1.0,0.513633012771606,1.0,0.495714396238327,0.0,,,,,,,,,,,,,0.286785662174225,0.0,0.61893492937088,1.0,0.410959541797638,0.0,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,HOOSGZJRQIVJSZ-UHFFFAOYSA-N,HOOSGZJRQIVJSZ
160,189,CNC1(c2ccccc2Cl)CCCCC1=O,0.0,,,1.0,1.0,2.1,29.1,-2.33,2.07,2,1,237.092041812,2,Train,,,Train,Val,0000000000000000000000000000000000000000000000000000000000000100010000000000000000000010011010100000001100110011000101000000001010011100000000111010011101010101111110,0.245935901999474,0.0,0.360804289579391,0.0,0.462570160627365,0.0,,,,,,,,,,,,,0.801613807678223,1.0,0.636003136634827,1.0,0.64083456993103,1.0,CNC1(c2ccccc2Cl)CCCCC1=O,YQEZLKZALYSWHR-UHFFFAOYSA-N,YQEZLKZALYSWHR
682,735,CCc1cccc2c1[nH]c1c2CCOC1(CC)CC(=O)O,0.0,,,0.0,,3.34,62.32,-1.48,0.44,2,2,287.152143532,4,Train,,,Train,,0000000000000000000000000000000000000000000000000000000010000000110000000000000000100000111000110100000110011001010100011010000110110000101000011110101111111011111110,0.202391594648361,0.0,0.382732510566711,0.0,0.532879292964935,1.0,,,,,,,,,,,,,0.784562110900879,1.0,0.62300568819046,1.0,0.631272792816162,1.0,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,NNYBQONXHNTVIJ-UHFFFAOYSA-N,NNYBQONXHNTVIJ
690,743,O=C(O)COc1ccc(Cl)cc1Cl,0.0,,,1.0,,2.91,46.53,0.66,-0.83,2,1,219.969399412,3,Test,,,Train,,0000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000001100101000100000000010011000010100001000110100010111101010011110,0.0227016545832157,0.0,0.159497484564781,0.0,0.344327598810196,0.0,,,,,,,,,,,,,0.763759255409241,1.0,0.506716012954712,1.0,0.410959541797638,0.0,O=C(O)COc1ccc(Cl)cc1Cl,OVSKIKFHRZPJSS-UHFFFAOYSA-N,OVSKIKFHRZPJSS
760,833,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0.0,0.0,,0.0,0.0,5.18,17.82,-6.26,5.23,2,0,344.108026224,4,Train,Train,,Train,Train,0000000000000000000000000000000000000000000000000000000000000000110000000010101000101010000000010000001000100001000000011100100000000100100001011001010000010100111010,0.264826565980911,0.0,0.363866657018661,0.0,0.359279036521912,0.0,0.580677032470703,1.0,0.443347781896591,0.0,0.435545772314072,0.0,,,,,,,0.80080783367157,1.0,0.638446390628815,1.0,0.64083456993103,1.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,VNFPBHJOKIVQEB
770,843,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.0,1.0,,1.0,,2.53,77.82,-4.28,2.35,4,2,248.082874096,2,Val,Train,,Train,,0000000000000000000000001000000000000100000000000000100000000100100000000000100100010010001000000100001001100010010000011000100000101110100001011000011000110101111010,0.0208290703594685,0.0,0.159497484564781,0.0,0.125615060329437,0.0,0.344330132007599,0.0,0.472754299640656,0.0,0.478584498167038,0.0,,,,,,,0.783942043781281,1.0,0.462570160627365,0.0,0.585979282855988,1.0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,WKSAUQYGYAYLPV
828,918,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,,0.0,,1.0,1.0,4.28,23.47,-0.93,2.35,2,1,311.224914548,5,,Train,,Train,Train,0000000000000000000000000000000000000000000000000000000000000000010000000010000000001100011000011111000110000011000001001100000110010000111000001011000110101100111110,,,,,,,0.457363784313202,0.0,0.431208252906799,0.0,0.523666501045227,1.0,,,,,,,0.80080783367157,1.0,0.637947559356689,1.0,0.607912361621857,1.0,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,YSXKPIUOCJLQIE-UHFFFAOYSA-N,YSXKPIUOCJLQIE
850,942,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,,0.0,,1.0,,3.08,32.26,-0.92,0.5,2,2,267.162314292,3,,Train,,Train,,0000000000000000000000000000000000000000000000000000000000000000010000000000000001000100011000000101000100000011000001001000100010100000111000001010001110001100111110,,,,,,,0.405124574899673,0.0,0.449078291654587,0.0,0.523666501045227,1.0,,,,,,,0.801935315132141,1.0,0.604871809482574,1.0,0.631527543067932,1.0,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,ZMISODWVFHHWNR-UHFFFAOYSA-N,ZMISODWVFHHWNR
