,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
5,8,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,1.0,1.0,,,,1.22,81.95,0.51,-0.86,5,4,309.194008344,5,Train,Val,,,,0000000000000000000000000000000000000000000000000000010000000000010000010100000001000000010000101001000110001001100100000000011110110000011110111100111110111111111110,0.792252719402313,1.0,0.54081803560257,1.0,0.549834012985229,1.0,0.255391865968704,0.0,0.839184641838074,1.0,0.5,0.0,,,,,,,,,,,,,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,VWPOSFSPZNDTMJ-UHFFFAOYSA-N,VWPOSFSPZNDTMJ
6,9,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1.0,0.0,,,0.0,0.41,78.43,0.56,-1.54,4,3,272.1194635,6,Test,Val,,,Test,0000000000000000000000000000000110000000000000000010011001011000001010001100000001000001000011100001010101000001000110000001000001111011001011000101101110111111111110,0.463828325271606,0.0,0.122747369110584,0.0,0.698193430900574,1.0,0.35302397608757,0.0,0.247663781046867,0.0,0.5,0.0,,,,,,,,,,,,,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,ZBMZVLHSJCTVON-UHFFFAOYSA-N,ZBMZVLHSJCTVON
7,10,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,1.0,1.0,,,0.0,2.02,97.99,-0.98,-0.36,4,4,408.28757438,4,Train,Val,,,Val,0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000011000010000000110010001001101000010001110110000001110101110110101101011001110,0.738541424274445,1.0,0.363455802202225,0.0,0.559713661670685,1.0,0.887162148952484,1.0,0.352802872657776,0.0,0.792567431926727,1.0,,,,,,,,,,,,,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BHQCQFFYRZLCQQ-OELDTZBJSA-N,BHQCQFFYRZLCQQ
19,26,CC(C)n1c(C=C[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1.0,1.0,,,,3.65,82.69,-2.24,0.54,4,3,411.184586532,8,Train,Val,,,,0000000000000000000000000000000000000000010000000000100000000100100000000110000000101010101000010010000110100000000000001110100000110100101100011101110101111111111110,0.451476514339447,0.0,0.382732510566711,0.0,0.562176525592804,1.0,0.802771806716919,1.0,0.612098157405853,1.0,0.792567431926727,1.0,,,,,,,,,,,,,CC(C)n1c(C=C[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,FJLGEFLZQAZZCD-OALUTQOASA-N,FJLGEFLZQAZZCD
22,29,C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3OCOc3c2)c(F)c1)C(=O)O,1.0,1.0,,,,2.24,116.21,-0.4,-1.12,7,2,454.117629168,8,Test,Val,,,,0000000000000000000000000001000000000000010000000000000010000000100000010000000101100010100100011101000010101100100010011010111000100101111101111100011111111111111110,0.697465181350708,1.0,0.289050489664078,0.0,0.344327598810196,0.0,0.721390545368195,1.0,0.762091219425201,1.0,0.77946811914444,1.0,,,,,,,,,,,,,CC(Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O,CNIGFESSDPOCKS-UHFFFAOYSA-N,CNIGFESSDPOCKS
48,59,Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,0.0,1.0,,,,2.07,106.94,0.41,-2.14,4,3,386.047733808,7,Val,Val,,,,0000000000000000000000000000000000000000000001000000000000000000000000000000001000001110001100100001000100100110000010000110000000111111011111010101111011111111111110,0.124985992908478,0.0,0.159497484564781,0.0,0.698193430900574,1.0,0.721390545368195,1.0,0.795379757881165,1.0,0.792567431926727,1.0,,,,,,,,,,,,,Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,MHPZZZZLAQGTHT-UHFFFAOYSA-N,MHPZZZZLAQGTHT
53,66,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.0,1.0,,,,0.66,136.68,0.35,-2.48,7,5,448.209717984,3,Val,Test,,,,0000000000000000000000000000000000000000000000000000110010000000010000010000000000000000111000010100000110010001101101000010011110110000101100111110010101001011011110,0.0226531904190779,0.0,0.159497484564781,0.0,0.179461523890495,0.0,0.721390545368195,1.0,0.839184641838074,1.0,0.792567431926727,1.0,,,,,,,,,,,,,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,MUOHJTRCBBDUOW-MZCZEQTOSA-N,MUOHJTRCBBDUOW
54,67,CCCCC[C@H](O)C=CC1=C(CCCCCCC(=O)O)C(=O)CC1,0.0,1.0,,,,4.59,74.6,-1.67,1.36,3,2,336.230059504,13,Test,Val,,,,0000000000000000000000000000000000000000000000000100000000000000000000000001000000000000011000010010000100010000011101000010001110110001001100100110010101101011000110,0.165102615952492,0.0,0.295344769954681,0.0,0.5,0.0,0.960630059242249,1.0,0.766826212406158,1.0,0.791391491889954,1.0,,,,,,,,,,,,,CCCCC[C@H](O)C=CC1=C(CCCCCCC(=O)O)C(=O)CC1,YBHMPNRDOVPQIN-KRWDZBQOSA-N,YBHMPNRDOVPQIN
659,698,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,0.0,1.0,,,,4.01,120.64,-6.3,4.05,7,2,434.0490712,4,Train,Test,,,,0000000000000000000000001000000000000100100001000000100000000000100000000000100100010010000100001100000001100100100010011000111000101110100001111000111100011101111110,0.191867128014565,0.0,0.443986117839813,0.0,0.359279036521912,0.0,0.41682180762291,0.0,0.550166249275208,1.0,0.451763361692429,0.0,,,,,,,,,,,,,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,PYGWGZALEOIKDF-UHFFFAOYSA-N,PYGWGZALEOIKDF
695,753,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.0,1.0,0.0,,1.0,1.92,94.83,-3.77,1.92,5,3,392.199902248,2,Train,Test,Train,,Train,0000000000000000000000000100000000000000010000000100100000000000010000010001000001000010111000010010000110111001001100000000001110110101001110101110110111101011001110,0.273708909749985,0.0,0.412964373826981,0.0,0.357493579387665,0.0,0.838985025882721,1.0,0.766826212406158,1.0,0.792567431926727,1.0,0.746926426887512,1.0,0.539391875267029,1.0,0.636133372783661,1.0,,,,,,,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,GJFCONYVAUNLKB-CXSFZGCWSA-N,GJFCONYVAUNLKB
