,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
0,3,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,1.0,1.0,,,0.0,2.78,140.42,-4.09,3.26,8,3,547.235221524,11,Test,Train,,,Train,0000000000000000000000100000000110000000000000000010011011111001001000011100000110110101111001110001110111011111001010010111111111111011111101101111101111111111111110,0.129280760884285,0.0,0.5,0.0,0.125615060329437,0.0,0.741180896759033,1.0,0.615593433380127,1.0,0.612554967403412,1.0,,,,,,,,,,,,,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CJBJHOAVZSMMDJ
1,4,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1.0,0.0,0.0,,0.0,-0.79,85.77,-2.52,-2.83,6,2,320.128468624,3,Val,Train,Val,,Train,0000000000000000000000000000000000000100010000000000000000000100100000000010101101001110101000001101000110100010110001011110101010101111111001111111011111111111111110,0.510339677333832,1.0,0.289050489664078,0.0,0.344327598810196,0.0,0.656469821929932,1.0,0.585043251514435,1.0,0.465057045221329,0.0,0.0324930064380169,0.0,0.540451943874359,1.0,0.222700133919716,0.0,,,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,IDYZIJYBMGIQMJ
3,6,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1.0,1.0,0.0,,0.0,-0.81,72.88,-2.64,-3.04,5,2,319.133219656,3,Train,Train,Train,,Train,0000000000000000000000000000000000000000010000000000000000000100100000000010001101001110101000001101000110100010110001011110101010101111111001111111011111111111111110,0.631353735923767,1.0,0.383744597434998,0.0,0.443574696779251,0.0,0.426108747720718,0.0,0.544388294219971,1.0,0.420078992843628,0.0,0.258905440568924,0.0,0.433725595474243,0.0,0.371683835983276,0.0,,,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,OGJPXUAPXNRGGI-UHFFFAOYSA-N,OGJPXUAPXNRGGI
18,25,Nc1nc(=O)c2c([nH]cc2CCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)[nH]1,1.0,1.0,,,0.0,0.58,191.26,-1.43,-4.47,6,6,427.149183392,9,Test,Train,,,Train,0000000000000000000000001000000000000100001000000000110000000000100000000000100100110000011100111100000111000110100011011010101000111011101101101110001001111110111110,0.449428677558899,0.0,0.174285307526588,0.0,0.174285307526588,0.0,0.61799293756485,1.0,0.615593433380127,1.0,0.601105153560638,1.0,,,,,,,,,,,,,Nc1nc(=O)c2c(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,WBXPDJSOTKVWSJ-UHFFFAOYSA-N,WBXPDJSOTKVWSJ
29,36,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,1.0,1.0,,,,0.61,92.21,-1.92,-1.44,4,2,376.134444868,2,Val,Train,,,,0000000000000000100000000000000000000011000000010000001001011000011010001000000000000001011000010000010111010001101101000001011111110001001100111111010100001011011110,0.533249139785767,1.0,0.159497484564781,0.0,0.344327598810196,0.0,0.784348726272583,1.0,0.555389702320099,1.0,0.601105153560638,1.0,,,,,,,,,,,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,WLGIWVFFGMPRLM-SLHNCBLASA-N,WLGIWVFFGMPRLM
34,42,O=C(O)[C@H]1O[C@@H](Oc2ccc([C@@H]3[C@@H](CC[C@H](O)c4ccc(F)cc4)C(=O)N3c3ccc(F)cc3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,1.0,1.0,,,,1.59,156.99,-0.92,-2.38,8,5,585.181037948,9,Train,Train,,,,0000000100100000000000000000000000000000010000000000110010000100000000010010000000001010110100001100000100100100100010011110111000111111101100101111010101111110111110,0.21685354411602,0.0,0.362706512212753,0.0,0.495714396238327,0.0,0.755017459392548,1.0,0.449078291654587,0.0,0.425557494163513,0.0,,,,,,,,,,,,,O=C(O)C1O[C@@H](Oc2ccc([C@@H]3C(CC[C@H](O)c4ccc(F)cc4)C(=O)N3c3ccc(F)cc3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,UOFYCFMTERCNEW-SGSUOIHRSA-N,UOFYCFMTERCNEW
36,44,CCCCC[C@H](O)C=C[C@H]1OC(O)C[C@H](O)[C@@H]1CC=CCCCC(=O)O,1.0,1.0,,,,1.91,107.22,0.08,-0.63,5,4,370.235538808,12,Train,Train,,,,0000000000000000000000000000000000000000000000000000100010000000000000000000000000000000111000000110000100010000011101000010001110110000101100100110010101101011001110,0.775117695331573,1.0,0.450166016817093,0.0,0.495714396238327,0.0,0.679174423217773,1.0,0.529964029788971,1.0,0.617056488990784,1.0,,,,,,,,,,,,,CCCCC[C@H](O)C=C[C@H]1OC(O)C[C@H](O)[C@@H]1CC=CCCCC(=O)O,XNRNNGPBEPRNAR-YLQJXANPSA-N,XNRNNGPBEPRNAR
37,45,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,0.0,1.0,,,0.0,0.02,213.28,-0.99,-6.37,9,6,441.139681328,9,Val,Train,,,Train,0000000000000000000000001000000000000100001000000000010000000000100000000000101101010000011100101101000111000110100010011010101000111011101101101110001011111110111110,0.0226531904190779,0.0,0.174285307526588,0.0,0.174285307526588,0.0,0.774471700191498,1.0,0.584275722503662,1.0,0.60292786359787,1.0,,,,,,,,,,,,,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,OVBPIULPVIDEAO
39,47,CN1c2c(NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)[nH]c(N)nc2=O,0.0,1.0,,,0.0,-0.6,202.77,-2.94,-5.09,9,7,459.18663152,9,Test,Train,,,Train,0000000000000000000000001000000000000100001000000000110000000000100000000010101101011000011110101101000111000110100110011110101000111011111101111111011011111111111110,0.0209155920892954,0.0,0.174285307526588,0.0,0.174285307526588,0.0,0.630635559558868,1.0,0.571506440639496,1.0,0.60292786359787,1.0,,,,,,,,,,,,,CN1c2c([nH]c(N)nc2=O)NC[C@@H]1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,ZNOVTXRBGFNYRX-UEWDXFNNSA-N,ZNOVTXRBGFNYRX
55,68,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,1.0,1.0,,1.0,0.0,-1.61,134.99,-1.93,-1.73,8,4,255.096753896,5,Train,Train,,Val,Test,0000000000000000000000001001000000000100001000000000100000000000100000010010101101111000111100111101000011001100100010011100011010111010111101100101001111111110111110,0.298717170953751,0.0,0.385405480861664,0.0,0.401312351226807,0.0,0.529009580612183,1.0,0.544388294219971,1.0,0.465057045221329,0.0,,,,,,,0.541757643222809,1.0,0.487807333469391,0.0,0.731058597564697,1.0,Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,IRSCQMHQWWYFCW-UHFFFAOYSA-N,IRSCQMHQWWYFCW
