,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
0,3,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,1.0,1.0,,,0.0,2.78,140.42,-4.09,3.26,8,3,547.235221524,11,Test,Train,,,Train,0000000000000000000000100000000110000000000000000010011011111001001000011100000110110101111001110001110111011111001010010111111111111011111101101111101111111111111110,0.129280760884285,0.0,0.5,0.0,0.125615060329437,0.0,0.741180896759033,1.0,0.615593433380127,1.0,0.612554967403412,1.0,,,,,,,,,,,,,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CJBJHOAVZSMMDJ
1,4,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1.0,0.0,0.0,,0.0,-0.79,85.77,-2.52,-2.83,6,2,320.128468624,3,Val,Train,Val,,Train,0000000000000000000000000000000000000100010000000000000000000100100000000010101101001110101000001101000110100010110001011110101010101111111001111111011111111111111110,0.510339677333832,1.0,0.289050489664078,0.0,0.344327598810196,0.0,0.656469821929932,1.0,0.585043251514435,1.0,0.465057045221329,0.0,0.0324930064380169,0.0,0.540451943874359,1.0,0.222700133919716,0.0,,,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,IDYZIJYBMGIQMJ
2,5,COc1c(N2CCNC(C)C2)c(F)cc2c1n(C1CC1)cc(C(=O)O)c2=O,1.0,,,,,-0.08,82.11,-3.38,-2.26,6,2,375.159434404,4,Test,,,,,0000000000000000000001000000000000000000010000000000000000000100100000000010001101001110101010101101000110110010101100011110111010101111111101111111111111011111111110,0.695815920829773,1.0,0.289050489664078,0.0,0.344327598810196,0.0,,,,,,,,,,,,,,,,,,,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,XUBOMFCQGDBHNK-UHFFFAOYSA-N,XUBOMFCQGDBHNK
4,7,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.0,,,,,2.87,95.58,-1.33,0.85,4,4,328.178692628,8,Test,,,,,0000000000000000000000000000000000000000000000000000110000000000000000000000000001010000110100101001000100000110101110000000101110110000001001111110011111111111111110,0.236914396286011,0.0,0.289050489664078,0.0,0.125615060329437,0.0,,,,,,,,,,,,,,,,,,,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,SGUAFYQXFOLMHL-UHFFFAOYSA-N,SGUAFYQXFOLMHL
6,9,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1.0,0.0,,,0.0,0.41,78.43,0.56,-1.54,4,3,272.1194635,6,Test,Val,,,Test,0000000000000000000000000000000110000000000000000010011001011000001010001100000001000001000011100001010101000001000110000001000001111011001011000101101110111111111110,0.463828325271606,0.0,0.122747369110584,0.0,0.698193430900574,1.0,0.35302397608757,0.0,0.247663781046867,0.0,0.5,0.0,,,,,,,,,,,,,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,ZBMZVLHSJCTVON-UHFFFAOYSA-N,ZBMZVLHSJCTVON
13,17,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.0,,0.0,,0.0,1.72,94.83,-3.36,1.66,5,3,362.20932406,2,Test,,Train,,Train,0000000000000000000000000100000000000000000000000100100000000000010000010001000001000000111000010010000110011001001101000000001110110001001100101110110111101011001110,0.0506510548293591,0.0,0.289050489664078,0.0,0.125615060329437,0.0,,,,,,,0.34177765250206,0.0,0.470035970211029,0.0,0.630459010601044,1.0,,,,,,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,JYGXADMDTFJGBT-VWUMJDOOSA-N,JYGXADMDTFJGBT
15,20,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,0.0,,,0.0,0.0,1.86,95.94,0.42,-1.43,5,2,376.199821996,9,Val,,,Train,Val,0000000000000000000000000000000000000000000000000000000000000000000000000010001000101000011100110001000100011110010011001110010100100001111101000111111011111111111110,0.88851672410965,1.0,0.159497484564781,0.0,0.344327598810196,0.0,,,,,,,,,,,,,0.254211783409119,0.0,0.617543995380402,1.0,0.383229702711105,0.0,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,GBXSMTUPTTWBMN-UHFFFAOYSA-N,GBXSMTUPTTWBMN
16,24,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,1.0,,,,,3.09,146.13,-1.83,0.27,7,4,551.393436416,19,Test,,,,,0000000000000000000000000000000000000000000000000000110000000000010000010100000101010100111110101001000100011111101111000000011110110001011111110110111111111111111110,0.924122452735901,1.0,0.289050489664078,0.0,0.179461523890495,0.0,,,,,,,,,,,,,,,,,,,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,UXOWGYHJODZGMF-MHKFTUFMSA-N,UXOWGYHJODZGMF
17,25,Nc1nc(=O)c2c([nH]cc2CCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)[nH]1,1.0,1.0,,,0.0,0.58,191.26,-1.43,-4.47,6,6,427.149183392,9,Test,Train,,,Train,0000000000000000000000001000000000000100001000000000110000000000100000000000100100110000011100111100000111000110100011011010101000111011101101101110001001111110111110,0.449428677558899,0.0,0.174285307526588,0.0,0.174285307526588,0.0,0.61799293756485,1.0,0.615593433380127,1.0,0.601105153560638,1.0,,,,,,,,,,,,,Nc1nc(=O)c2c(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,WBXPDJSOTKVWSJ-UHFFFAOYSA-N,WBXPDJSOTKVWSJ
20,28,COc1cc2c(cc1OC)CN(c1nc(N3CCCN(C(=O)N4CC(O)C(O)C4)CC3)nc3cc(OC)c(OC)cc13)CC2,1.0,,,,,1.88,133.19,-3.62,1.24,11,2,608.29584762,6,Test,,,,,0000000000000000001000001000000000001100000000000000010000000100100000010010101100101100011010111101000111000110100011011100111110111010111111111111110111011111111110,0.0775385126471519,0.0,0.159497484564781,0.0,0.125615060329437,0.0,,,,,,,,,,,,,,,,,,,COc1cc2c(cc1OC)CN(c1nc(N3CCCN(C(=O)N4CC(O)C(O)C4)CC3)nc3cc(OC)c(OC)cc13)CC2,VXKNKZHZUCCLKQ-UHFFFAOYSA-N,VXKNKZHZUCCLKQ
