,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
3,6,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1.0,1.0,0.0,,0.0,-0.81,72.88,-2.64,-3.04,5,2,319.133219656,3,Train,Train,Train,,Train,0000000000000000000000000000000000000000010000000000000000000100100000000010001101001110101000001101000110100010110001011110101010101111111001111111011111111111111110,0.631353735923767,1.0,0.383744597434998,0.0,0.443574696779251,0.0,0.426108747720718,0.0,0.544388294219971,1.0,0.420078992843628,0.0,0.258905440568924,0.0,0.433725595474243,0.0,0.371683835983276,0.0,,,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,OGJPXUAPXNRGGI-UHFFFAOYSA-N,OGJPXUAPXNRGGI
5,8,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,1.0,1.0,,,,1.22,81.95,0.51,-0.86,5,4,309.194008344,5,Train,Val,,,,0000000000000000000000000000000000000000000000000000010000000000010000010100000001000000010000101001000110001001100100000000011110110000011110111100111110111111111110,0.792252719402313,1.0,0.54081803560257,1.0,0.549834012985229,1.0,0.255391865968704,0.0,0.839184641838074,1.0,0.5,0.0,,,,,,,,,,,,,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,VWPOSFSPZNDTMJ-UHFFFAOYSA-N,VWPOSFSPZNDTMJ
7,10,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,1.0,1.0,,,0.0,2.02,97.99,-0.98,-0.36,4,4,408.28757438,4,Train,Val,,,Val,0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000011000010000000110010001001101000010001110110000001110101110110101101011001110,0.738541424274445,1.0,0.363455802202225,0.0,0.559713661670685,1.0,0.887162148952484,1.0,0.352802872657776,0.0,0.792567431926727,1.0,,,,,,,,,,,,,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BHQCQFFYRZLCQQ-OELDTZBJSA-N,BHQCQFFYRZLCQQ
8,11,NCCc1ccc(Oc2ccc(O)cc2)c(I)c1,0.0,,,,,2.35,55.48,-1.7,0.64,3,2,355.006926688,4,Train,,,,,0000000000000000000000000010000000000000000000000000000000000000000000000000000001010010000000000001000100100010100000000000111000100100001000111010011110101110111110,0.202391594648361,0.0,0.569546222686768,1.0,0.443574696779251,0.0,,,,,,,,,,,,,,,,,,,NCCc1ccc(Oc2ccc(O)cc2)c(I)c1,XIINYOJWNGOUPF-UHFFFAOYSA-N,XIINYOJWNGOUPF
9,12,COc1c(C)c2c(C(=O)OC2)c(O)c1CC=C(C)CCC(=O)O,0.0,,,,,3.8,93.06,-2.24,0.76,5,2,320.12598836,6,Train,,,,,0000000000000000000000000000000000000000000000000100000010000000000000000001000000100000111010010010000110011000101100000010011110110001101110110110110111101011011110,0.386075228452682,0.0,0.450166016817093,0.0,0.358530253171921,0.0,,,,,,,,,,,,,,,,,,,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,HPNSFSBZBAHARI-UHFFFAOYSA-N,HPNSFSBZBAHARI
10,13,COc1c(C)c2c(C(=O)OC2)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1CC=C(C)CCC(=O)O,0.0,,,,,0.27,189.28,0.3,-4.73,10,5,496.158076336,9,Train,,,,,0000000000000000000000000000000000000000000000000100110010000000000000010001000000100000110010010110000110011000101100010010011110110001101110111110110111101011011110,0.273170977830887,0.0,0.470035970211029,0.0,0.495714396238327,0.0,,,,,,,,,,,,,,,,,,,COc1c(C)c2c(c(OC3OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c1CC=C(C)CCC(=O)O)C(=O)OC2,BYFGTSAYQQIUCN-URYOTEEKSA-N,BYFGTSAYQQIUCN
11,14,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,,,,,4.19,37.3,-1.2,1.83,1,1,413.973702572,6,Train,,,,,0000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001100001000000000010000000000100001000000000000001001010000100,0.191867128014565,0.0,0.3606316447258,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SNGREZUHAYWORS-UHFFFAOYSA-N,SNGREZUHAYWORS
12,16,N[C@@H](CCC(=O)N[C@@H](CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)O)C(=O)O,0.0,,,,,-1.35,275.76,-1.34,-3.77,10,5,473.085262808,13,Train,,,,,0000000000000000000000010000000000000000000000001000010100100011000001100000001111010001011101100001010100000110000010100111000101111011011101010111011011111110111110,0.217042878270149,0.0,0.589040458202362,1.0,0.368187606334686,0.0,,,,,,,,,,,,,,,,,,,NC(CCC(=O)NC(CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)O)C(=O)O,FXEUKVKGTKDDIQ-UHFFFAOYSA-N,FXEUKVKGTKDDIQ
14,19,CCOc1ccc(CC(CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,0.0,,,,,-0.48,205.45,0.28,-4.61,9,5,527.211508876,20,Train,,,,,0000000000000000000000000000000000000000000000000000000000000000000000000000001000001100001000100001000100001010110000000110011110110001011101100111000111111111111110,0.355471611022949,0.0,0.412964373826981,0.0,0.495714396238327,0.0,,,,,,,,,,,,,,,,,,,CCOc1ccc(CC(CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,AQOXEJNYXXLRQQ-UHFFFAOYSA-N,AQOXEJNYXXLRQQ
18,26,CC(C)n1c(C=C[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1.0,1.0,,,,3.65,82.69,-2.24,0.54,4,3,411.184586532,8,Train,Val,,,,0000000000000000000000000000000000000000010000000000100000000100100000000110000000101010101000010010000110100000000000001110100000110100101100011101110101111111111110,0.451476514339447,0.0,0.382732510566711,0.0,0.562176525592804,1.0,0.802771806716919,1.0,0.612098157405853,1.0,0.792567431926727,1.0,,,,,,,,,,,,,CC(C)n1c(C=C[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,FJLGEFLZQAZZCD-OALUTQOASA-N,FJLGEFLZQAZZCD
