,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
1,4,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1.0,0.0,0.0,,0.0,-0.79,85.77,-2.52,-2.83,6,2,320.128468624,3,Val,Train,Val,,Train,0000000000000000000000000000000000000100010000000000000000000100100000000010101101001110101000001101000110100010110001011110101010101111111001111111011111111111111110,0.510339677333832,1.0,0.289050489664078,0.0,0.344327598810196,0.0,0.656469821929932,1.0,0.585043251514435,1.0,0.465057045221329,0.0,0.0324930064380169,0.0,0.540451943874359,1.0,0.222700133919716,0.0,,,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,IDYZIJYBMGIQMJ
720,779,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,0.0,,0.0,,0.0,-0.93,138.03,-0.52,-3.62,5,3,347.093977024,4,Train,,Test,,Test,0000000100100000000000000000000000010000000010100100010000000000000000000001001010011001001100101110100010000100001010011110001000101001101101101101011011011111111110,0.225090980529785,0.0,0.369739770889282,0.0,0.368545532226562,0.0,,,,,,,0.0190721191465855,0.0,0.250344783067703,0.0,0.222700133919716,0.0,,,,,,,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)[C@H]2SC1,ZAIPMKNFIOOWCQ-QKFMDRJYSA-N,ZAIPMKNFIOOWCQ
753,821,CN(C)CCCN1c2ccccc2Sc2ccccc21,0.0,,1.0,,1.0,4.65,31.78,-2.79,2.69,3,0,284.13471964,4,Train,,Val,,Val,0000000000000000000000000000000000010000000000000000000000100000000000000110000110001101000010000101000010010010001101011100100000000010110001011011100010110101111010,0.193086355924606,0.0,0.363866657018661,0.0,0.358514338731766,0.0,,,,,,,0.977198123931885,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,CN(C)CCCN1c2ccccc2Sc2ccccc21,ZGUGWUXLJSTTMA-UHFFFAOYSA-N,ZGUGWUXLJSTTMA
891,990,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,,1.0,1.0,,0.0,3.06,37.3,-4.14,3.16,2,1,288.208930136,0,,Train,Val,,Val,0000000000000000000000000100000000000000000000000100000000000000010000000001000000000000011000010010000110010001001101000000001110010000001000101010110101001011001110,,,,,,,0.354611337184906,0.0,0.429421842098236,0.0,0.57696944475174,1.0,0.982873380184174,1.0,0.647643208503723,1.0,0.863333821296692,1.0,,,,,,,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,SEDRVEWTPRTLOZ-DYKIIFRCSA-N,SEDRVEWTPRTLOZ
968,1083,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,,1.0,1.0,,0.0,5.58,42.32,-4.62,4.21,5,1,458.248189832,8,,Test,Test,,Train,0000000000000000000000001000000000000000010000000000000000000000100000000010101100101110010010010101000111100010100001011100111110001110110001111011011110111101111110,,,,,,,0.0469059199094772,0.0,0.751098155975342,1.0,0.695844352245331,1.0,0.978403210639954,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,GXDALQBWZGODGZ-UHFFFAOYSA-N,GXDALQBWZGODGZ
1481,1702,CCN(CC)CC(=O)Nc1c(C)cccc1C,,0.0,1.0,,1.0,2.32,32.34,-1.32,1.81,2,1,234.173213324,5,,Train,Test,,Val,0000000000000000000000000000000000000000000000000000000000000000000000000000001000001100001100100001000100000110010110000100000000011010010011010001111011110101111110,,,,,,,0.492728382349014,0.0,0.459548085927963,0.0,0.462160348892212,0.0,0.962530136108398,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,CCN(CC)CC(=O)Nc1c(C)cccc1C,NNJVILVZKWQKPM-UHFFFAOYSA-N,NNJVILVZKWQKPM
1762,2040,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,,0.0,0.0,,0.0,0.79,115.38,-2.05,0.86,5,3,322.012326844,6,,Val,Test,,Val,0000000000000000000000010000000000000000000000001000110100000010000001100000000001000000110101100000011100101110000010100101000001101111001101000101001111111110111110,,,,,,,0.408363908529282,0.0,0.612098157405853,1.0,0.5,0.0,0.25580433011055,0.0,0.545329749584198,1.0,0.725404143333435,1.0,,,,,,,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,WIIZWVCIJKGZOK-RKDXNWHRSA-N,WIIZWVCIJKGZOK
1931,2249,CN(C)C(=O)c1ccc(Nc2cc3c(cn2)cc(-c2cn(C)nc2)n3C(=O)OC(C)(C)C)c(Cl)c1,,0.0,1.0,,,4.49,94.28,-4.31,3.61,8,1,494.183316404,4,,Train,Val,,,0000000000000000000000100000000000000100000000000001000000000100110000000110100100101110000111010100001011100101000010011111110000001111100011011101111101011111111110,,,,,,,0.515224516391754,1.0,0.457648873329163,0.0,0.547418057918549,1.0,0.969204902648926,1.0,0.8179771900177,1.0,0.863333821296692,1.0,,,,,,,CN(C)C(=O)c1ccc(Nc2cc3c(cn2)cc(-c2cnn(C)c2)n3C(=O)OC(C)(C)C)c(Cl)c1,KYBALIQJYSWGLI-UHFFFAOYSA-N,KYBALIQJYSWGLI
2186,2517,NC1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,,0.0,1.0,,,2.01,53.98,-3.74,1.71,4,1,290.153146576,2,,Train,Test,,,0000000000000000000000001000000000000100000000000000000000000100010000000000111100111000011000010101000011000011000001111100100000001000110001001011001010010100111010,,,,,,,0.34650331735611,0.0,0.443986117839813,0.0,0.478584498167038,0.0,0.976836860179901,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,NC1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,UFWSJOVQEPTPNE-UHFFFAOYSA-N,UFWSJOVQEPTPNE
2655,3008,CN1CC(c2c[nH]c3cc(-n4ccc(OCc5ccccc5)cc4=O)ccc23)C1,,1.0,1.0,,,2.94,48.57,-3.06,0.79,4,1,385.179026976,5,,Train,Val,,,0000000100100000000000000000000000000000000000000000000000000100100000000010000100101100101110011101000010001100101010011100111000001010110001111001011111111111111110,,,,,,,0.694889187812805,1.0,0.443986117839813,0.0,0.450166016817093,0.0,0.97442638874054,1.0,0.860689580440521,1.0,0.725404143333435,1.0,,,,,,,CN1CC(c2c[nH]c3cc(-n4ccc(OCc5ccccc5)cc4=O)ccc23)C1,VENQEUPIUTUQBC-UHFFFAOYSA-N,VENQEUPIUTUQBC
