,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
3,6,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1.0,1.0,0.0,,0.0,-0.81,72.88,-2.64,-3.04,5,2,319.133219656,3,Train,Train,Train,,Train,0000000000000000000000000000000000000000010000000000000000000100100000000010001101001110101000001101000110100010110001011110101010101111111001111111011111111111111110,0.631353735923767,1.0,0.383744597434998,0.0,0.443574696779251,0.0,0.426108747720718,0.0,0.544388294219971,1.0,0.420078992843628,0.0,0.258905440568924,0.0,0.433725595474243,0.0,0.371683835983276,0.0,,,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,OGJPXUAPXNRGGI-UHFFFAOYSA-N,OGJPXUAPXNRGGI
13,17,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.0,,0.0,,0.0,1.72,94.83,-3.36,1.66,5,3,362.20932406,2,Test,,Train,,Train,0000000000000000000000000100000000000000000000000100100000000000010000010001000001000000111000010010000110011001001101000000001110110001001100101110110111101011001110,0.0506510548293591,0.0,0.289050489664078,0.0,0.125615060329437,0.0,,,,,,,0.34177765250206,0.0,0.470035970211029,0.0,0.630459010601044,1.0,,,,,,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,JYGXADMDTFJGBT-VWUMJDOOSA-N,JYGXADMDTFJGBT
696,753,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.0,1.0,0.0,,1.0,1.92,94.83,-3.77,1.92,5,3,392.199902248,2,Train,Test,Train,,Train,0000000000000000000000000100000000000000010000000100100000000000010000010001000001000010111000010010000110111001001100000000001110110101001110101110110111101011001110,0.273708909749985,0.0,0.412964373826981,0.0,0.357493579387665,0.0,0.838985025882721,1.0,0.766826212406158,1.0,0.792567431926727,1.0,0.746926426887512,1.0,0.539391875267029,1.0,0.636133372783661,1.0,,,,,,,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,GJFCONYVAUNLKB-CXSFZGCWSA-N,GJFCONYVAUNLKB
928,1035,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,,0.0,0.0,,,3.26,54.37,-0.39,0.05,2,1,254.094294308,4,,Train,Train,,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000001001000001100000101001011011110,,,,,,,0.344330132007599,0.0,0.432237684726715,0.0,0.370654106140137,0.0,0.258905440568924,0.0,0.440286308526993,0.0,0.410959541797638,0.0,,,,,,,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,DKYWVDODHFEZIM-UHFFFAOYSA-N,DKYWVDODHFEZIM
1002,1127,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,,0.0,0.0,,0.0,-0.55,72.88,-2.81,-2.89,5,2,351.139447908,3,,Train,Train,,Train,0000000000000000000000000000000000000000010000000000000000000100100000000010001101001110101000001101000110110010111100011110101010101111111001111111111111111111111110,,,,,,,0.688799917697906,1.0,0.603909611701965,1.0,0.601105153560638,1.0,0.258905440568924,0.0,0.5,0.0,0.410959541797638,0.0,,,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,ZEKZLJVOYLTDKK-UHFFFAOYSA-N,ZEKZLJVOYLTDKK
1059,1190,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,,0.0,0.0,,,2.99,63.6,-1.53,0.31,4,1,308.104858992,4,,Train,Train,,,0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000101000000100000010000000101000000010101000010001101100111100010101101011011110,,,,,,,0.606394827365875,1.0,0.405971318483353,0.0,0.370654106140137,0.0,0.333293229341507,0.0,0.418476104736328,0.0,0.486367046833038,0.0,,,,,,,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,PJVWKTKQMONHTI-UHFFFAOYSA-N,PJVWKTKQMONHTI
1174,1324,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,,0.0,1.0,,,2.74,84.08,-4.33,2.72,4,2,295.095691276,3,,Train,Train,,,0000000000000000000000101000000000000000001000000000000000000000100000000000101000100000000010011000000011000100000010011010110000101011100001001100001101011111111110,,,,,,,0.344330132007599,0.0,0.417988926172256,0.0,0.40812087059021,0.0,0.568020582199097,1.0,0.574442505836487,1.0,0.633277535438538,1.0,,,,,,,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,OPXLLQIJSORQAM-UHFFFAOYSA-N,OPXLLQIJSORQAM
1258,1427,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,,1.0,1.0,,,1.46,91.67,-3.38,1.46,5,2,360.193673996,2,,Train,Train,,,0000000000000000000000000100000000000000000000000100100000000000010000010001000001000000111000010010000110011001001101000000001110110001001100101110110111101011001110,,,,,,,0.70213794708252,1.0,0.555389702320099,1.0,0.607392251491547,1.0,0.72621762752533,1.0,0.539391875267029,1.0,0.580542325973511,1.0,,,,,,,C[C@]12CCC(=O)C=C1CC[C@@H]1C2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,MFYSYFVPBJMHGN-VLNSYWPESA-N,MFYSYFVPBJMHGN
1439,1649,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,,0.0,1.0,1.0,1.0,3.61,40.54,-3.96,2.65,3,1,375.140134876,6,,Train,Train,Val,Train,0000000000000000000000000000000000000000010000000000000000000100010000000010000000001110010000001101001100100011000001001100101110010100111000101011000111101110111110,,,,,,,0.525654792785645,1.0,0.477288335561752,0.0,0.452996343374252,0.0,0.799392580986023,1.0,0.607830584049225,1.0,0.630459010601044,1.0,0.978488028049469,1.0,0.813616693019867,1.0,0.822761237621307,1.0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,LNEPOXFFQSENCJ
1508,1735,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,,1.0,0.0,,,1.25,91.67,-3.31,1.07,5,2,360.193673996,3,,Train,Train,,,0000000000000000000000000100000000000000000000000100000000000000010000010001000001000000001000010010000110011001001101000000001110110001001100101110010111101011001110,,,,,,,0.727113664150238,1.0,0.52141547203064,1.0,0.617056488990784,1.0,0.636320471763611,1.0,0.470035970211029,0.0,0.580542325973511,1.0,,,,,,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)C(C(=O)CO)CC[C@@H]12,PQSUYGKTWSAVDQ-LNXQYSHSSA-N,PQSUYGKTWSAVDQ
