molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
256064,4.43,COc1ccc(CCN(C)CCn2c(-c3ccc(N(C)C)cc3)nc3ccccc3c2=O)cc1OC,IERNEONMXXBPJS-UHFFFAOYSA-N,P33527
256036,6.3,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(C(C)C)cc3)nc3ccccc3c1=O)CC2,BVTJLRRZLUSCOP-UHFFFAOYSA-N,P33527
256034,5.98,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccccc3c1=O)CC2,HSFNWCVLEHOTNA-UHFFFAOYSA-N,P33527
256427,5.14,COc1cc(C(=O)N2CCN(CCn3c(-c4ccc(N(C)C)cc4)nc4ccccc4c3=O)CC2)cc(OC)c1OC,VYGKCLUENLMXGE-UHFFFAOYSA-N,P33527
256469,5.35,COc1cc2c(cc1OC)CN(CCn1c(-c3cccc(N(C)C)c3)nc3ccccc3c1=O)CC2,KJWQAMYUAJXZCQ-UHFFFAOYSA-N,P33527
256023,5.81,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc(Cl)cc3c1=O)CC2,RHHCJOJPWGOQQN-UHFFFAOYSA-N,P33527
256565,5,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CC2CCCCC2)cc1,SULCAFYSBWZKFE-UHFFFAOYSA-N,P33527
255803,6.4,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc([N+](=O)[O-])cc3c1=O)CC2,NYPGJZWAUHDNPD-UHFFFAOYSA-N,P33527
256530,5.48,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCc2ccncc2)cc1,LYGGSNRQNCFMMA-UHFFFAOYSA-N,P33527
256083,6.05,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc4ccccc4c3)nc3ccccc3c1=O)CC2,TYAZKPZMWXPZFC-UHFFFAOYSA-N,P33527
255491,5.7,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cc([N+](=O)[O-])ccc3c1=O)CC2,GVALHBYTVPPPRH-UHFFFAOYSA-N,P33527
256128,6,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(-c4ccccc4)cc3)nc3ccccc3c1=O)CC2,ZZCIOKLFQNGQEK-UHFFFAOYSA-N,P33527
256178,5.2,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3c(C)cccc3c1=O)CC2,IUZQYEOWHCJSBY-UHFFFAOYSA-N,P33527
256166,5.82,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc4c(c3)OCO4)nc3ccccc3c1=O)CC2,CCLUAFLWYKTOOM-UHFFFAOYSA-N,P33527
256175,4.82,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3c(OC)cccc3c1=O)CC2,SNBOOGYQLOCZID-UHFFFAOYSA-N,P33527
256020,5.88,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cc(Cl)ccc3c1=O)CC2,DBFQXNNNIXMVKG-UHFFFAOYSA-N,P33527
256246,6,CCCc1cccc(-c2nc3ccccc3c(=O)n2CCN2CCc3cc(OC)c(OC)cc3C2)c1,ZWPGIWZXXUHJCV-UHFFFAOYSA-N,P33527
256536,5.54,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3c(Cl)cccc3c1=O)CC2,WZJWHWWXGMIEGQ-UHFFFAOYSA-N,P33527
255753,5.29,COc1cc(C(=O)C(=O)N2CCCC[C@H]2C(=O)OC(CCCc2cccnc2)CCCc2cccnc2)cc(OC)c1OC,CGVWPQOFHSAKRR-NDEPHWFRSA-N,P33527
256537,5.55,COc1cc2c(cc1OC)CN(CCn1c(-c3ccccc3)nc3ccccc3c1=O)CC2,YNBCNARTMALJEM-UHFFFAOYSA-N,P33527
256132,4.73,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cc(N)ccc3c1=O)CC2,ANYCZRNPIKYUJE-UHFFFAOYSA-N,P33527
256131,4.02,COc1cc2c(cc1OC)CN(CCn1c(-c3ccccc3O)nc3ccccc3c1=O)CC2,CYFCACNBMGVQDN-UHFFFAOYSA-N,P33527
256503,4.41,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCN2CCN(Cc3ccccc3)CC2)cc1,FYNPNAQICGVBPO-UHFFFAOYSA-N,P33527
255756,5.12,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc(N)cc3c1=O)CC2,OMIPYLXEHUBELO-UHFFFAOYSA-N,P33527
256470,5.5,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCN2CCc3ccccc3C2)cc1,FYTMEAIABFTWAV-UHFFFAOYSA-N,P33527
256035,4.44,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCN2CCN(c3ncccn3)CC2)cc1,QHJJWDQVTVWIJJ-UHFFFAOYSA-N,P33527
256024,5.42,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cccc(Cl)c3c1=O)CC2,KEJYYPIWXMGUOU-UHFFFAOYSA-N,P33527
284949,5.89,COc1cc(NC(=O)Cc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc(OC)c1O,OFFLOQYYORWGFF-UHFFFAOYSA-N,P08183
284041,5.39,COc1ccc(NC(=O)Cc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc1OC,NWFSDIOIAROJIP-UHFFFAOYSA-N,P08183
284836,5.4,Cc1onc2c1c(=O)n(-c1cccc(CC(=O)Nc3ccc4c(c3)OCO4)c1)c1cccc(Cl)c21,LSULXIBJDKNBQA-UHFFFAOYSA-N,P08183
284739,5.31,Cc1onc2c1c(=O)n(-c1cccc(CC(=O)Nc3ccc(C#N)cc3)c1)c1cccc(Cl)c21,OIJRANHRCJBGFV-UHFFFAOYSA-N,P08183
284950,5.68,COc1cc(NC(=O)Cc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc(OC)c1,PUYXWOQKVYLFSJ-UHFFFAOYSA-N,P08183
