,molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
0,256064.0,4.43,COc1ccc(CCN(C)CCn2c(-c3ccc(N(C)C)cc3)nc3ccccc3c2=O)cc1OC,IERNEONMXXBPJS-UHFFFAOYSA-N,P33527
1,256036.0,6.3,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(C(C)C)cc3)nc3ccccc3c1=O)CC2,BVTJLRRZLUSCOP-UHFFFAOYSA-N,P33527
2,256034.0,5.98,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccccc3c1=O)CC2,HSFNWCVLEHOTNA-UHFFFAOYSA-N,P33527
3,256427.0,5.14,COc1cc(C(=O)N2CCN(CCn3c(-c4ccc(N(C)C)cc4)nc4ccccc4c3=O)CC2)cc(OC)c1OC,VYGKCLUENLMXGE-UHFFFAOYSA-N,P33527
4,256469.0,5.35,COc1cc2c(cc1OC)CN(CCn1c(-c3cccc(N(C)C)c3)nc3ccccc3c1=O)CC2,KJWQAMYUAJXZCQ-UHFFFAOYSA-N,P33527
5,256023.0,5.81,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc(Cl)cc3c1=O)CC2,RHHCJOJPWGOQQN-UHFFFAOYSA-N,P33527
6,256565.0,5.0,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CC2CCCCC2)cc1,SULCAFYSBWZKFE-UHFFFAOYSA-N,P33527
7,255803.0,6.4,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc([N+](=O)[O-])cc3c1=O)CC2,NYPGJZWAUHDNPD-UHFFFAOYSA-N,P33527
8,256530.0,5.48,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCc2ccncc2)cc1,LYGGSNRQNCFMMA-UHFFFAOYSA-N,P33527
9,256083.0,6.05,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc4ccccc4c3)nc3ccccc3c1=O)CC2,TYAZKPZMWXPZFC-UHFFFAOYSA-N,P33527
10,255491.0,5.7,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cc([N+](=O)[O-])ccc3c1=O)CC2,GVALHBYTVPPPRH-UHFFFAOYSA-N,P33527
11,256128.0,6.0,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(-c4ccccc4)cc3)nc3ccccc3c1=O)CC2,ZZCIOKLFQNGQEK-UHFFFAOYSA-N,P33527
12,256178.0,5.2,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3c(C)cccc3c1=O)CC2,IUZQYEOWHCJSBY-UHFFFAOYSA-N,P33527
13,256166.0,5.82,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc4c(c3)OCO4)nc3ccccc3c1=O)CC2,CCLUAFLWYKTOOM-UHFFFAOYSA-N,P33527
14,256175.0,4.82,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3c(OC)cccc3c1=O)CC2,SNBOOGYQLOCZID-UHFFFAOYSA-N,P33527
15,256020.0,5.88,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cc(Cl)ccc3c1=O)CC2,DBFQXNNNIXMVKG-UHFFFAOYSA-N,P33527
16,256246.0,6.0,CCCc1cccc(-c2nc3ccccc3c(=O)n2CCN2CCc3cc(OC)c(OC)cc3C2)c1,ZWPGIWZXXUHJCV-UHFFFAOYSA-N,P33527
17,256536.0,5.54,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3c(Cl)cccc3c1=O)CC2,WZJWHWWXGMIEGQ-UHFFFAOYSA-N,P33527
18,255753.0,5.29,COc1cc(C(=O)C(=O)N2CCCC[C@H]2C(=O)OC(CCCc2cccnc2)CCCc2cccnc2)cc(OC)c1OC,CGVWPQOFHSAKRR-NDEPHWFRSA-N,P33527
19,256537.0,5.55,COc1cc2c(cc1OC)CN(CCn1c(-c3ccccc3)nc3ccccc3c1=O)CC2,YNBCNARTMALJEM-UHFFFAOYSA-N,P33527
20,256132.0,4.73,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cc(N)ccc3c1=O)CC2,ANYCZRNPIKYUJE-UHFFFAOYSA-N,P33527
21,256131.0,4.02,COc1cc2c(cc1OC)CN(CCn1c(-c3ccccc3O)nc3ccccc3c1=O)CC2,CYFCACNBMGVQDN-UHFFFAOYSA-N,P33527
22,256503.0,4.41,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCN2CCN(Cc3ccccc3)CC2)cc1,FYNPNAQICGVBPO-UHFFFAOYSA-N,P33527
