molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
398458,4.96,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,HJYYPODYNSCCOU-ODRIEIDWSA-N,P46721
365189,4.29,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,P46721
11143,4.18,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,Q96FL8
86042,4.58,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,IZEKFCXSFNUWAM-UHFFFAOYSA-N,Q96FL8
605,5,CN(C)CCCN1c2ccccc2CCc2ccccc21,BCGWQEUPMDMJNV-UHFFFAOYSA-N,Q96FL8
9333,5.96,Nc1c2c(nc3ccccc13)CCCC2,YLJREFDVOIBQDA-UHFFFAOYSA-N,Q96FL8
77779,4.19,Cc1ccccc1C(OCCN(C)C)c1ccccc1,QVYRGXJJSLMXQH-UHFFFAOYSA-N,Q96FL8
3183,6.82,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,FELGMEQIXOGIFQ-UHFFFAOYSA-N,Q96FL8
1620,5.24,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,AQIXAKUUQRKLND-UHFFFAOYSA-N,Q96FL8
3965,6.39,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,XDRYMKDFEDOLFX-UHFFFAOYSA-N,Q96FL8
419598,5.55,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,IQPSEEYGBUAQFF-UHFFFAOYSA-N,Q96FL8
308611,6.19,Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,OEBPANQZQGQPHF-UHFFFAOYSA-N,Q96FL8
4504,6.72,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,KKZJGLLVHKMTCM-UHFFFAOYSA-N,Q96FL8
88797,7.4,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,Q96FL8
17170,5.72,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CBVCZFGXHXORBI-PXQQMZJSSA-N,Q96FL8
88100,5.68,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NCDNCNXCDXHOMX-XGKFQTDJSA-N,Q96FL8
5985,5.37,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,UWKQSNNFCGGAFS-XIFFEERXSA-N,Q96FL8
3965,5.7,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,XDRYMKDFEDOLFX-UHFFFAOYSA-N,Q96FL8
419598,5.55,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,IQPSEEYGBUAQFF-UHFFFAOYSA-N,Q96FL8
308611,5.96,Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,OEBPANQZQGQPHF-UHFFFAOYSA-N,Q96FL8
3183,7.52,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,FELGMEQIXOGIFQ-UHFFFAOYSA-N,Q96FL8
4504,6.4,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,KKZJGLLVHKMTCM-UHFFFAOYSA-N,Q96FL8
88797,7.3,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,Q96FL8
17170,5.77,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CBVCZFGXHXORBI-PXQQMZJSSA-N,Q96FL8
