,SMILES_raw,status_bbb,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
0,C(N1C(C(C=2C(=C(C(=C3C2C1(C(C=4C(=C(C(O[H])=C(O[H])C34)[H])[H])([H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H],1,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,VMWNQDUVQKEIOC-UHFFFAOYSA-N,VMWNQDUVQKEIOC
1,CC1=NN=C2CN=C(C3=CC(Cl)=CC=C3N12)C4=CC=CC=C4,1,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,VREFGVBLTWBCJP-UHFFFAOYSA-N,VREFGVBLTWBCJP
2,CN(CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2)C,1,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,ZPEIMTDSQAKGNT
3,CN1C(CC(N(C2=C1C=CC(Cl)=C2)C3=CC=CC=C3)=O)=O,1,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,CXOXHMZGEKVPMT-UHFFFAOYSA-N,CXOXHMZGEKVPMT
4,ClC1=CC=CC(Cl)=C1N=C2NCCN2,1,Clc1cccc(Cl)c1NC1=NCCN1,GJSURZIOUXUGAL-UHFFFAOYSA-N,GJSURZIOUXUGAL
5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1,CNCCCN1c2ccccc2CCc2ccccc21,HCYAFALTSJYZDH-UHFFFAOYSA-N,HCYAFALTSJYZDH
6,CN1C(CN=C(C2=C1C=CC(Cl)=C2)C3=CC=CC=C3)=O,1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,AAOVKJBEBIDNHE
7,O=C(CCCN1CCC(C=2C=CC(Cl)=CC2)(O)CC1)C=3C=CC(F)=CC3,1,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,LNEPOXFFQSENCJ
8,CN(CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2)C,1,CN(C)CCCN1c2ccccc2CCc2ccccc21,BCGWQEUPMDMJNV-UHFFFAOYSA-N,BCGWQEUPMDMJNV
9,O=C1CCC2(O)C3CC=4C=CC(O)=C5OC1C2(CCN3CC6CC6)C45,1,O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,DQCKKXVULJGBQN-UHFFFAOYSA-N,DQCKKXVULJGBQN
10,ClC1=CC=C2NC(CN=C(C2=C1)C3=CC=CC=C3)=O,1,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,AKPLHCDWDRPJGD-UHFFFAOYSA-N,AKPLHCDWDRPJGD
11,OC1=C2OC3C(C=CC4C5CC(=C2C34CCN5C)C=C1)O,1,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,BQJCRHHNABKAKU-UHFFFAOYSA-N,BQJCRHHNABKAKU
12,OC1N=C(C2=CC(Cl)=CC=C2NC1=O)C3=CC=CC=C3,1,O=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O,AQKCJDFMDAPELP-UHFFFAOYSA-N,AQKCJDFMDAPELP
13,CN(CCCN1C2=CC=CC=C2SC3=CC=CC=C13)C,1,CN(C)CCCN1c2ccccc2Sc2ccccc21,ZGUGWUXLJSTTMA-UHFFFAOYSA-N,ZGUGWUXLJSTTMA
14,CCC(NC(=O)C1=C(C)C(=NC2=CC=CC=C12)C=3C=CC=CC3)C=4C=CC=CC4,1,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,MQNYRKWJSMQECI-UHFFFAOYSA-N,MQNYRKWJSMQECI
15,CSC1=CC=C2SC3=C(N(C2=C1)CCC4CCCCN4C)C=CC=C3,1,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,KLBQZWRITKRQQV-UHFFFAOYSA-N,KLBQZWRITKRQQV
16,N1(CC2=CC=CC(OCCCNC3=NC4=C(S3)C=CC=C4)=C2)CCCCC1,1,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,KUBONGDXTUOOLM-UHFFFAOYSA-N,KUBONGDXTUOOLM
17,CCC(NC(=O)C1=C(O)C(=NC2=CC=CC=C12)C=3C=CC=CC3)C=4C=CC=CC4,1,CCC(NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,BIAVGWDGIJKWRM-UHFFFAOYSA-N,BIAVGWDGIJKWRM
18,O1C2C34C(C(N(CC3)C)CC5=C4C1=C(OC6OC(C(O)C(O)C6O)C(O)=O)C=C5)C=CC2O,0,CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(O)C=CC3C1C5,WAEXKFONHRHFBZ-UHFFFAOYSA-N,WAEXKFONHRHFBZ
19,O1C2C34C(C(N(CC3)C)CC5=C4C1=C(O)C=C5)C=CC2OC6OC(C(O)C(O)C6O)C(O)=O,0,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,GNJCUHZOSOYIEC-UHFFFAOYSA-N,GNJCUHZOSOYIEC
20,O=C1CCC2(C)C(CCC3C2C(O)CC4(C=O)C3CCC4C(CO)=O)=C1,0,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,PQSUYGKTWSAVDQ-UHFFFAOYSA-N,PQSUYGKTWSAVDQ
21,C(C(C(O)=O)(NN)C)C=1C=C(C(O)=CC1)O,0,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,TZFNLOMSOLWIDK-UHFFFAOYSA-N,TZFNLOMSOLWIDK
22,OC(=O)C1=CC=2C(CCCCN3CCC(=CC3)C4=CC=CC=C4)=CNC2C=C1,0,O=C(O)c1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,AFSOIHMEOKEZJF-UHFFFAOYSA-N,AFSOIHMEOKEZJF
23,ClC1=CC=C(C(N2CCN(CC2)CCOCC(O)=O)C3=CC=CC=C3)C=C1,0,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP
24,O=C1CCC2(C)C(CCC3C2C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1,0,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,JYGXADMDTFJGBT-UHFFFAOYSA-N,JYGXADMDTFJGBT
25,CCC1=C(O)C(=O)C=CN1CCCCO,0,CCc1c(O)c(=O)ccn1CCCCO,PGAVJEVPRWLSBG-UHFFFAOYSA-N,PGAVJEVPRWLSBG
26,C(C=1C=CC=CC1)(C=2C=CC=CC2)OC3CCN(CCCC(C=4C=CC(C(C)(C)C)=CC4)=O)CC3,0,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,MJJALKDDGIKVBE-UHFFFAOYSA-N,MJJALKDDGIKVBE
27,C=1(C(=CC2=C(N1)N(C=C(C2=O)C(O)=O)CC)F)N3CCNCC3,0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,IDYZIJYBMGIQMJ
28,O=C1N(C=2C(C(=NC1NC(=O)C=3NC=4C(C3)=CC=CC4)C5=CC=CC=C5)=CC=CC2)C,0,CN1C(=O)C(NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21,NFHRQQKPEBFUJK-UHFFFAOYSA-N,NFHRQQKPEBFUJK
29,OC1C2C(C3C(C1)(C(CC3)C(=O)CO)C)CCC=4C2(CCC(=O)C4)C,0,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,OMFXVFTZEKFJBZ-UHFFFAOYSA-N,OMFXVFTZEKFJBZ
30,OC(CNC(C)(C)C)C1=CC(=C(O)C=C1)CO,0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,NDAUXUAQIAJITI-UHFFFAOYSA-N,NDAUXUAQIAJITI
31,C=1C=C2C(C(NC(CC)C=3C=CC=CC3)=O)=C(C(=NC2=CC1)C=4C=CC=CC4)OCC(O)=O,0,CCC(NC(=O)c1c(OCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,RJIWGNBRTQFKBW-UHFFFAOYSA-N,RJIWGNBRTQFKBW
32,C=1C=CC2=C(C(C(NC(CC)C=3C=CC=CC3)=O)=C(OCCNC(CC=4C(=CC=CC4)C(=O)O)=O)C(C=5C=CC=CC5)=N2)C1,0,CCC(NC(=O)c1c(OCCNC(=O)Cc2ccccc2C(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,XLLBHYOQOOFVLH-UHFFFAOYSA-N,XLLBHYOQOOFVLH
33,CCC(NC(=O)C1=C(CN2C=CN=C2)C(=NC3=CC=CC=C13)C4=CC=CC=C4)C5=CC=CC=C5,0,CCC(NC(=O)c1c(Cn2ccnc2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,KJZOIEGZNOPHDK-UHFFFAOYSA-N,KJZOIEGZNOPHDK
34,OC(C1CCN(CC1)CCCC(O)C2=CC=C(C(C)(C)C)C=C2)(C3=CC=CC=C3)C4=CC=CC=C4,0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,GUGOEEXESWIERI-UHFFFAOYSA-N,GUGOEEXESWIERI
35,CNC(NC#N)=NCCSCC1=C(C)NC=N1,0,CN=C(NC#N)NCCSCc1[nH]cnc1C,AQIXAKUUQRKLND-UHFFFAOYSA-N,AQIXAKUUQRKLND
36,C=1C=C(OC)C(=NC1)CCCCNC2=NC=C(C(N2)=O)CC3=CN=C(C=C3)C,0,COc1cccnc1CCCCNc1nc(=O)c(Cc2ccc(C)nc2)c[nH]1,GJCSPRIRQYWXRW-UHFFFAOYSA-N,GJCSPRIRQYWXRW
37,S(CC=1OC(C(N)(C)C)=CC1)CCNC=2NC(=O)C(CC=3C=CC(=NC3)C)=CN2,0,Cc1ccc(Cc2c[nH]c(NCCSCc3ccc(C(C)(C)N)o3)nc2=O)cn1,CZTPLYMKHNEVHO-UHFFFAOYSA-N,CZTPLYMKHNEVHO
38,CN(C)CC1=CC=C(CSCCNC(NC)=CN(=O)=O)O1,0,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,SYNOVMDJYWJCON-UHFFFAOYSA-N,SYNOVMDJYWJCON
39,BrC=1C=NC(CCCCNC2=NC(C(CC=3C=NC(C)=CC3)=CN2)=O)=C(C)C1,0,Cc1ccc(Cc2c[nH]c(NCCCCc3ncc(Br)cc3C)nc2=O)cn1,OGEAASSLWZDQBM-UHFFFAOYSA-N,OGEAASSLWZDQBM
40,CN1CCN(CC1)C=2C(F)=CC=3C(=O)C(=CN4CCSC2C34)C(O)=O,0,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,NJCJBUHJQLFDSW-UHFFFAOYSA-N,NJCJBUHJQLFDSW
41,CC1CN(CC(C)N1)C2=C(F)C3=C(C(=O)C(=CN3C4CC4)C(O)=O)C(N)=C2F,0,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,DZZWHBIBMUVIIW-UHFFFAOYSA-N,DZZWHBIBMUVIIW
42,CCC(NC(=O)C1=C(OCCNC(=O)C2CCCN2)C(=NC3=CC=CC=C13)C4=CC=CC=C4)C5=CC=CC=C5,0,CCC(NC(=O)c1c(OCCNC(=O)C2CCCN2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,ORPZVEATXOARKK-UHFFFAOYSA-N,ORPZVEATXOARKK
43,CCCCC=1OC=2C=CC=CC2C1C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ
44,CC(C)C=1N(C(=C(C1C(=O)NC2=CC=CC=C2)C3=CC=CC=C3)C4=CC=C(C=C4)F)CCC(O)CC(O)CC(O)=O,0,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,XUKUURHRXDUEBC-UHFFFAOYSA-N,XUKUURHRXDUEBC
45,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,0,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,UIEATEWHFDRYRU-UHFFFAOYSA-N,UIEATEWHFDRYRU
46,CC(C)N=C1C=C2N(C3=CC=C(C=C3)Cl)C4=CC=CC=C4N=C2C=C1NC5=CC=C(C=C5)Cl,0,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,WDQPAMHFFCXSNU-UHFFFAOYSA-N,WDQPAMHFFCXSNU
47,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC3C(O)CC(OC3C)OC4CCC5(C)C(CCC6C5CC(O)C7(C)C(CCC67O)C8=CC(=O)OC8)C4,0,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,LTMHDMANZUZIPE-UHFFFAOYSA-N,LTMHDMANZUZIPE
48,COC1=CC=C(C=C1O)C2=CC(=O)C3=C(C=C(C=C3O2)OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)O,0,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,GZSOSUNBTXMUFQ-UHFFFAOYSA-N,GZSOSUNBTXMUFQ
49,OCCN(CCO)C1=NC(=C2N=C(N=C(C2=N1)N3CCCCC3)N(CCO)CCO)N4CCCCC4,0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,IZEKFCXSFNUWAM-UHFFFAOYSA-N,IZEKFCXSFNUWAM
50,COC1=CC=CC2=C1C(=O)C3=C(C4=C(C(=C3C2=O)O)CC(O)(CC4OC5CC(N)C(O)C(C)O5)C(=O)CO)O,0,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(CC(O)(C(=O)CO)CC1OC1CC(N)C(O)C(C)O1)C3=O,XZTGINNGSQCYPR-UHFFFAOYSA-N,XZTGINNGSQCYPR
51,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4NCCC5=CC(=C(C=C45)OC)OC)OC)OC,0,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,AUVVAXYIELKVAI-UHFFFAOYSA-N,AUVVAXYIELKVAI
52,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,ULGZDMOVFRHVEP-UHFFFAOYSA-N,ULGZDMOVFRHVEP
53,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4O)C6=CC7=C(C=C26)OCO7,0,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,VJJPUSNTGOMMGY-UHFFFAOYSA-N,VJJPUSNTGOMMGY
54,CCOC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2Cl)Cl)C(=O)OC)C,0,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl,HAQDEJPEAKWAAM-UHFFFAOYSA-N,HAQDEJPEAKWAAM
55,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(CCF)C=C(C(O)=O)C3=O)F,0,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,XBJBPGROQZJDOJ-UHFFFAOYSA-N,XBJBPGROQZJDOJ
56,CC1CN(CCN1)C2=CC3=C(C(=C2F)C)C(=O)C(=CN3C4CC4)C(O)=O,0,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,AIJTTZAVMXIJGM-UHFFFAOYSA-N,AIJTTZAVMXIJGM
57,CC1OC(CC(N)C1O)OC2CC(O)(CC3=C(C4=C(C(=C32)O)C(=O)C5=CC=CC=C5C4=O)O)C(C)=O,0,CC(=O)C1(O)C=C2C(=O)c3c(c(O)c4ccccc4c3O)C(=O)C2C(OC2CC(N)C(O)C(C)O2)C1,SZWGDFGULWLMIP-UHFFFAOYSA-N,SZWGDFGULWLMIP
58,CCC(C)N1N=CN(C1=O)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(CN6C=NC=N6)(O5)C7=CC=C(C=C7Cl)Cl,0,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,VHVPQPYKVGDNFY-UHFFFAOYSA-N,VHVPQPYKVGDNFY
59,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(CN4C=CN=C4)(O3)C5=CC=C(C=C5Cl)Cl,0,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,XMAYWYJOQHXEEK
60,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C=4NN=NN4)CO)Cl,0,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,PSIFNNKUMBGKDQ
61,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,0,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,PCZOHLXUXFIOCF-UHFFFAOYSA-N,PCZOHLXUXFIOCF
62,COCC(=O)OC1(CCN(C)CCCC=2NC=3C=CC=CC3N2)CCC4=CC(=CC=C4C1C(C)C)F,0,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,HBNPJJILLOYFJU-UHFFFAOYSA-N,HBNPJJILLOYFJU
63,COC12C(COC(N)=O)C3=C(N1CC4NC42)C(=O)C(=C(N)C3=O)C,0,C=c1c(N)c(O)c2c(c1O)N1CC3NC3C1(OC)C=2COC(N)=O,WOJBAMBWWYIQHQ-UHFFFAOYSA-N,WOJBAMBWWYIQHQ
64,CC1=C(C=CC=C1C(=O)NC(CSC2=CC=CC=C2)C(O)CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,0,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,QAGYKUNXZHXKMR-UHFFFAOYSA-N,QAGYKUNXZHXKMR
65,COC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2)[N+]([O-])=O)C(=O)OCCN(C)CC3=CC=CC=C3)C,0,COC(=O)C1=C(C)N=C(C)C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,UXVSDVSUISWXKD-UHFFFAOYSA-N,UXVSDVSUISWXKD
66,CCOC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2)[N+]([O-])=O)C(=O)OC)C,0,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,VVTJQHCRBOHFTD-UHFFFAOYSA-N,VVTJQHCRBOHFTD
67,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12,0,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,TUZYXOIXSAXUGO-UHFFFAOYSA-N,TUZYXOIXSAXUGO
68,CCCNCC(O)COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2,0,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-UHFFFAOYSA-N,JWHAUXFOSRPERK
69,CC(C)C(NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)NC(CC(O)C(CC2=CC=CC=C2)NC(=O)OCC=3SC=NC3)CC4=CC=CC=C4,0,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NCDNCNXCDXHOMX-UHFFFAOYSA-N,NCDNCNXCDXHOMX
70,CCC1(O)CC2CN(CCC3=C(NC=4C=CC=CC43)C(C2)(C(=O)OC)C5=CC6=C(C=C5OC)N(C)C7C(O)(C(O)C8(CC)C=CCN9CCC76C98)C(N)=O)C1,0,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(N)=O)C(O)C5(CC)C=CCN6CCC43C65)C2)C1,HHJUWIANJFBDHT-UHFFFAOYSA-N,HHJUWIANJFBDHT
71,OC1(CCC=2C(C1)=C(O)C3=C(C2O)C(=O)C4=C(C3=O)C=CC=C4OC)C(O)CO,0,COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)=CCC(O)(C(O)CO)C=4,QPLDIXIPQYSUGB-UHFFFAOYSA-N,QPLDIXIPQYSUGB
72,CC(C)CC(N)C(=O)NC(CCCN)C(=O)NC(C(C)C)C(=O)NC(CCCN)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C=O,0,CC(C)CC(N)C(=O)NC(CCCN)C(=O)NC(C(=O)NC(CCCN)C(=O)N1CCCC1C(=O)NC(C=O)Cc1ccccc1)C(C)C,BCAKESXANDHPNM-UHFFFAOYSA-N,BCAKESXANDHPNM
