,SMILES_raw,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
0,COc1ccc(CCN(C)CCn2c(-c3ccc(N(C)C)cc3)nc3ccccc3c2=O)cc1OC,Non-substrate,COc1ccc(CCN(C)CCn2c(-c3ccc(N(C)C)cc3)nc3ccccc3c2=O)cc1OC,IERNEONMXXBPJS-UHFFFAOYSA-N,IERNEONMXXBPJS
1,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(C(C)C)cc3)nc3ccccc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(C(C)C)cc3)nc3ccccc3c1=O)CC2,BVTJLRRZLUSCOP-UHFFFAOYSA-N,BVTJLRRZLUSCOP
2,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccccc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccccc3c1=O)CC2,HSFNWCVLEHOTNA-UHFFFAOYSA-N,HSFNWCVLEHOTNA
3,COc1cc(C(=O)N2CCN(CCn3c(-c4ccc(N(C)C)cc4)nc4ccccc4c3=O)CC2)cc(OC)c1OC,Substrate,COc1cc(C(=O)N2CCN(CCn3c(-c4ccc(N(C)C)cc4)nc4ccccc4c3=O)CC2)cc(OC)c1OC,VYGKCLUENLMXGE-UHFFFAOYSA-N,VYGKCLUENLMXGE
4,COc1cc2c(cc1OC)CN(CCn1c(-c3cccc(N(C)C)c3)nc3ccccc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3cccc(N(C)C)c3)nc3ccccc3c1=O)CC2,KJWQAMYUAJXZCQ-UHFFFAOYSA-N,KJWQAMYUAJXZCQ
5,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc(Cl)cc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc(Cl)cc3c1=O)CC2,RHHCJOJPWGOQQN-UHFFFAOYSA-N,RHHCJOJPWGOQQN
6,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CC2CCCCC2)cc1,Non-substrate,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CC2CCCCC2)cc1,SULCAFYSBWZKFE-UHFFFAOYSA-N,SULCAFYSBWZKFE
7,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc([N+](=O)[O-])cc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3ccc([N+](=O)[O-])cc3c1=O)CC2,NYPGJZWAUHDNPD-UHFFFAOYSA-N,NYPGJZWAUHDNPD
8,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCc2ccncc2)cc1,Substrate,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCc2ccncc2)cc1,LYGGSNRQNCFMMA-UHFFFAOYSA-N,LYGGSNRQNCFMMA
9,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc4ccccc4c3)nc3ccccc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc4ccccc4c3)nc3ccccc3c1=O)CC2,TYAZKPZMWXPZFC-UHFFFAOYSA-N,TYAZKPZMWXPZFC
10,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cc([N+](=O)[O-])ccc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3cc([N+](=O)[O-])ccc3c1=O)CC2,GVALHBYTVPPPRH-UHFFFAOYSA-N,GVALHBYTVPPPRH
11,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(-c4ccccc4)cc3)nc3ccccc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(-c4ccccc4)cc3)nc3ccccc3c1=O)CC2,ZZCIOKLFQNGQEK-UHFFFAOYSA-N,ZZCIOKLFQNGQEK
12,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3c(C)cccc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc(N(C)C)cc3)nc3c(C)cccc3c1=O)CC2,IUZQYEOWHCJSBY-UHFFFAOYSA-N,IUZQYEOWHCJSBY
13,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc4c(c3)OCO4)nc3ccccc3c1=O)CC2,Substrate,COc1cc2c(cc1OC)CN(CCn1c(-c3ccc4c(c3)OCO4)nc3ccccc3c1=O)CC2,CCLUAFLWYKTOOM-UHFFFAOYSA-N,CCLUAFLWYKTOOM
