,SMILES_raw,Phenotype,Permeability,status_pampa,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
0,CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C,High,300.0,1,Cc1c2cc[nH]cc2c(C)c2c1nc1ccccc12,DMIWIJAIZZONNT-UHFFFAOYSA-N,DMIWIJAIZZONNT
1,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O,High,300.0,1,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)[C@H]2SC1,BOEGTKLJZSQCCD-QKFMDRJYSA-N,BOEGTKLJZSQCCD
2,CC1=C(C2=CC=CC=C2N1)C3(C4=C(C=CC(=C4)Cl)N(C3=O)CC5=CC=CC=C5)O,High,300.0,1,Cc1[nH]c2ccccc2c1C1(O)C(=O)N(Cc2ccccc2)c2ccc(Cl)cc21,VUUGHFZXXFTFQA-UHFFFAOYSA-N,VUUGHFZXXFTFQA
3,COC1=CC(=C(C=C1CN2CCC3=NC(=NC=C3C2)N4CCN(CC4)C5=CC=CC=C5F)OC)OC,High,300.0,1,COc1cc(OC)c(OC)cc1CN1CCc2nc(N3CCN(c4ccccc4F)CC3)ncc2C1,UAHFFTYFDVZGFK-UHFFFAOYSA-N,UAHFFTYFDVZGFK
4,CC1=CC=C(C=C1)C2=CSC3=C2C(=NC=N3)SC4=NN=NN4C,High,300.0,1,Cc1ccc(-c2csc3ncnc(Sc4nnnn4C)c23)cc1,JUNNWNYKUUVREG-UHFFFAOYSA-N,JUNNWNYKUUVREG
5,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)Cl,High,300.0,1,Cn1nnnc1Sc1ncnc2scc(-c3ccc(Cl)cc3)c12,UFJAIMORMYXBTD-UHFFFAOYSA-N,UFJAIMORMYXBTD
6,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)F,High,300.0,1,Cn1nnnc1Sc1ncnc2scc(-c3cccc(F)c3)c12,FMABFSDXQZDQEM-UHFFFAOYSA-N,FMABFSDXQZDQEM
7,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)C(F)(F)F,High,300.0,1,Cn1nnnc1Sc1ncnc2scc(-c3ccc(C(F)(F)F)cc3)c12,YLOIWTHVMDILDR-UHFFFAOYSA-N,YLOIWTHVMDILDR
8,CC(=O)C1=CC2=C(S1)C3=C(N2C)C(=O)N(N=C3)CC4=CC=CC=C4F,High,300.0,1,CC(=O)c1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,VQFDKGMHSLXKBA-UHFFFAOYSA-N,VQFDKGMHSLXKBA
9,C1=CC=C(C=C1)CN2C=C(C3=C2N=CN(C3=N)C(CO)(CO)CO)C4=CC=CC=C4,High,300.0,1,N=c1c2c(-c3ccccc3)cn(Cc3ccccc3)c2ncn1C(CO)(CO)CO,BLGLCLYHBPYHHF-UHFFFAOYSA-N,BLGLCLYHBPYHHF
10,C1=CC(=CC(=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CN=C(C=C5)N)C(F)(F)F,High,300.0,1,Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,GUXXEUUYCAYESJ-UHFFFAOYSA-N,GUXXEUUYCAYESJ
11,CC1([C@@H](N2[C@H](S1)[C@H](C2=O)N3C(=O)[C@H](NC3(C)C)C4=CC=CC=C4)C(=O)[O-])C,High,300.0,1,CC1(C)S[C@@H]2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)O,DXVUYOAEDJXBPY-WHUXOIGISA-N,DXVUYOAEDJXBPY
12,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC(C)(C)C)N(C)CC3=CC=C(C=C3)C(C)(C)C,High,300.0,1,CC(C)CC(C(=O)NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)NC(C)(C)C)N(C)Cc1ccc(C(C)(C)C)cc1,GCDHMGROXQUFNR-UHFFFAOYSA-N,GCDHMGROXQUFNR
13,CN1C[C@H]2CC(C[C@H]2C1)COC3=C(C=C4C(=C3)N=CN=C4NC5=C(C(=C(C=C5)Cl)Cl)F)OC,High,300.0,1,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OCC1C[C@@H]2CN(C)C[C@@H]2C1,HVXKQKFEHMGHSL-GOOCMWNKSA-N,HVXKQKFEHMGHSL
14,C1CN(CCC1CC2=CC3=CC=CC=C3N=C2)C(=O)NC4=CC=CC=C4,High,300.0,1,O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1,BIODYGOZWZNCAG-UHFFFAOYSA-N,BIODYGOZWZNCAG
15,CC1=CC=CC=C1N(C)C2CN(C2)[S+](=O)(C3=CC=CC(=C3)C(F)(F)F)[O-],High,300.0,1,Cc1ccccc1N(C)C1CN([S+](=O)(O)c2cccc(C(F)(F)F)c2)C1,BTHKDLDJBKQLHE-UHFFFAOYSA-O,BTHKDLDJBKQLHE
16,CC1=NOC(=C1)CNC(=O)C2=CC3=C(C=C2)N(C(=O)N3CC4CC4)C5CCCCC5,High,300.0,1,Cc1cc(CNC(=O)c2ccc3c(c2)n(CC2CC2)c(=O)n3C2CCCCC2)on1,OHSMTKLVCHFYEF-UHFFFAOYSA-N,OHSMTKLVCHFYEF
17,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C,High,300.0,1,CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,ALIVXCSEERJYHU-UHFFFAOYSA-N,ALIVXCSEERJYHU
18,CN(C)C[C@@H]1CCN2C=C(C3C(C4=CN(CCO1)C5=CC=CC=C54)C(=O)NC3=O)C6=CC=CC=C62,High,300.0,1,CN(C)C[C@@H]1CCn2cc(c3ccccc32)-c2c(O)[nH]c(O)c2-c2cn(c3ccccc23)CCO1,DABMHGIPJLZGRT-SFHVURJKSA-N,DABMHGIPJLZGRT
19,C1CN(C[C@H]1NCC2=C(C=C(C=C2)Cl)Cl)C3=NC=C(C=N3)Br,High,300.0,1,Clc1ccc(CN[C@H]2CCN(c3ncc(Br)cn3)C2)c(Cl)c1,PXQNLQLMRMROSB-ZDUSSCGKSA-N,PXQNLQLMRMROSB
20,CCC[C@H](C1=CC2=C(C=C1)OCO2)NC(=O)N3[C@H](C(C3=O)(CC)CC)OC4=CC=C(C=C4)C(=O)N5CCN(CC5)C,High,300.0,1,CCC[C@@H](NC(=O)N1C(=O)C(CC)(CC)[C@@H]1Oc1ccc(C(=O)N2CCN(C)CC2)cc1)c1ccc2c(c1)OCO2,ZSDCIRYNTCVTMF-GIGWZHCTSA-N,ZSDCIRYNTCVTMF
21,C1C(CN1CC2=CC(=C(C=C2)C3=NC4=C(S3)C=CC(=C4)CC5=CC=CC=C5F)F)C(=O)O,High,300.0,1,O=C(O)C1CN(Cc2ccc(-c3nc4cc(Cc5ccccc5F)ccc4s3)c(F)c2)C1,GVXGVDIXINMAAL-UHFFFAOYSA-N,GVXGVDIXINMAAL
22,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)NCCN2C3=CC=CC=C3C=C2C(F)(F)F,High,300.0,1,COc1cc(/C=C/C(=O)NCCn2c(C(F)(F)F)cc3ccccc32)cc(OC)c1OC,WUYOECAJFJFUFC-CMDGGOBGSA-N,WUYOECAJFJFUFC
23,CCN(CC)CCNC1=C2C(=C(C=C1)C)SC3=CC=CC=C3C2=O,High,300.0,1,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,FBQPGGIHOFZRGH-UHFFFAOYSA-N,FBQPGGIHOFZRGH
24,CN1CCN(CC1)C(=O)CC2=CNC3=C2C=C(C=N3)C4=CC=CC=C4OC5=CC=CC=C5,High,299.0,1,CN1CCN(C(=O)Cc2c[nH]c3ncc(-c4ccccc4Oc4ccccc4)cc23)CC1,MUACOSYOMRJSIC-UHFFFAOYSA-N,MUACOSYOMRJSIC
25,COC1=CC=C(C=C1)CN2C(=C(C3=C2N=CN(C3=N)CC4CCCO4)C5=CC=CC=C5)C6=CC=CC=C6,High,297.0,1,COc1ccc(Cn2c(-c3ccccc3)c(-c3ccccc3)c3c(=N)n(CC4CCCO4)cnc32)cc1,IGPKYGOSBCZJNA-UHFFFAOYSA-N,IGPKYGOSBCZJNA
26,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)C(F)(F)F,High,296.0,1,Cn1nnnc1Sc1ncnc2scc(-c3cccc(C(F)(F)F)c3)c12,VLYWPFPPMYHFIY-UHFFFAOYSA-N,VLYWPFPPMYHFIY
27,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,High,288.0,1,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,JFIOVJDNOJYLKP-UHFFFAOYSA-N,JFIOVJDNOJYLKP
28,COC1=C(C=C(C=C1)CCN2C=NC3=C(C2=N)C(=C(N3CC4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6)OC,High,287.0,1,COc1ccc(CCn2cnc3c(c(-c4ccccc4)c(-c4ccccc4)n3Cc3ccccc3)c2=N)cc1OC,UUSIUROFVFSCGV-UHFFFAOYSA-N,UUSIUROFVFSCGV
29,COC1=C(C=C(C=C1)CCN2C=NC3=C(C2=N)C(=CN3CC4=CC=CC=C4)C5=CC=CC=C5)OC,High,284.0,1,COc1ccc(CCn2cnc3c(c(-c4ccccc4)cn3Cc3ccccc3)c2=N)cc1OC,XJHYHIYCRDUTPX-UHFFFAOYSA-N,XJHYHIYCRDUTPX
30,CC=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O,High,282.0,1,CC=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)[C@H]2SC1,WDLWHQDACQUCJR-QWQCLYJRSA-N,WDLWHQDACQUCJR
31,CC1=COC2=CC3=C(C=C12)C(=C(C(=O)O3)CCC(=O)NCCC4=CC=C(C=C4)OC)C,High,279.25,1,COc1ccc(CCNC(=O)CCc2c(C)c3cc4c(C)coc4cc3oc2=O)cc1,UNPJGSCZLSQTCW-UHFFFAOYSA-N,UNPJGSCZLSQTCW
32,COC1=CC=C(C=C1)CN2C(=C(C3=C2N=CN(C3=N)CCCCO)C4=CC=CC=C4)C5=CC=CC=C5,High,279.0,1,COc1ccc(Cn2c(-c3ccccc3)c(-c3ccccc3)c3c(=N)n(CCCCO)cnc32)cc1,SXLQGTVWGMWWON-UHFFFAOYSA-N,SXLQGTVWGMWWON
33,COC1=CC=C(C=C1)CN2C(=C(C3=C2N=CN(C3=N)CCO)C4=CC=CC=C4)C5=CC=CC=C5,High,279.0,1,COc1ccc(Cn2c(-c3ccccc3)c(-c3ccccc3)c3c(=N)n(CCO)cnc32)cc1,ZVDASOIAYWCHFJ-UHFFFAOYSA-N,ZVDASOIAYWCHFJ
34,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=C(C=NN5)Cl)C(=O)C1,High,275.0,1,O=C1CCCC2=NC(Nc3nc4ccccc4o3)=NC(c3[nH]ncc3Cl)C12,ZMZHKQBIRWLJMP-UHFFFAOYSA-N,ZMZHKQBIRWLJMP
35,COC1=CC=C(C=C1)CN2C(=C(C3=C2N=CN(C3=N)CC(OC)OC)C4=CC=CC=C4)C5=CC=CC=C5,High,272.0,1,COc1ccc(Cn2c(-c3ccccc3)c(-c3ccccc3)c3c(=N)n(CC(OC)OC)cnc32)cc1,JSHYJRYMCGRZIQ-UHFFFAOYSA-N,JSHYJRYMCGRZIQ
36,CCOC1=C(C=C(C=C1)CCNC(=O)C2=CC3=CC=CC=C3N2CC4=CC=CC(=N4)C)OCC,High,271.0,1,CCOc1ccc(CCNC(=O)c2cc3ccccc3n2Cc2cccc(C)n2)cc1OCC,XACWFPJBEOBCHI-UHFFFAOYSA-N,XACWFPJBEOBCHI
