,Activity_ID,Quality,source,CID,SMILES,connectivity,InChIKey,InChI,InChI_AuxInfo,target_id,TID,accession,Protein_Type,AID,doc_id,Year,all_doc_ids,all_years,type_IC50,type_EC50,type_KD,type_Ki,type_other,Activity_class,relation,pchembl_value,pchembl_value_Mean,pchembl_value_StdDev,pchembl_value_SEM,pchembl_value_N,pchembl_value_Median,pchembl_value_MAD
2738,ADNKLAAIRXDEOP_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.74168,Cc1cc(=O)c2c(o1)c(CC(C)C)c(O)c(O)c2O,ADNKLAAIRXDEOP,ADNKLAAIRXDEOP-UHFFFAOYSA-N,"InChI=1S/C14H16O5/c1-6(2)4-8-11(16)13(18)12(17)10-9(15)5-7(3)19-14(8)10/h5-6,16-18H,4H2,1-3H3","""AuxInfo=1/0/N:12,13,1,10,3,11,2,9,4,6,14,18,16,7,5,15,19,17,8/E:(1,2)/rA:19CCCCOCCOCCCCCCOCOCO/rB:s1;d2;s3;d4;s4;d6;s2s7;s7;s9;s10;s11;s11;d9;s14;s14;s16;s6d16;s18;/rC:;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL888453,PMID:17552510,2007.0,PMID:17552510,2007,0,0,0,1,,,=,6.14,6.14,0.0,0.0,1.0,6.14,0.0
3027,AEAIKBHAZFBIFT_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.455229,N#CC1=C(O)c2cccc3c(Sc4ccc(Br)cc4)ccc(c23)C1=NCCC(=O)NCc1cc(C(=O)O)ccc1,AEAIKBHAZFBIFT,AEAIKBHAZFBIFT-UHFFFAOYSA-N,"InChI=1S/C31H22BrN3O4S/c32-20-7-9-21(10-8-20)40-26-12-11-23-28-22(26)5-2-6-24(28)30(37)25(16-33)29(23)34-14-13-27(36)35-17-18-3-1-4-19(15-18)31(38)39/h1-12,15,37H,13-14,17H2,(H,35,36)(H,38,39)","""AuxInfo=1/1/N:39,8,40,38,9,7,15,18,14,19,21,20,27,26,33,2,31,32,34,16,13,10,22,6,3,11,28,23,24,4,35,17,1,25,30,29,5,36,37,12/E:(7,8)(9,10)(38,39)/rA:40NCCCOCCCCCCSCCCCBrCCCCCCCNCCCONCCCCCOOCCC/rB:t1;s2;w?3;s4;s4;d6;s7;d8;s9;d10;s11;s12;d13;s14;d15;s16;s16;s13d18;s11;d20;s21;s6s10d22;s3s22;w?24;s25;s26;s27;d28;s28;s30;s31;d32;s33;s34;d35;s35;d34;s38;s32d39;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4705649,PMID:33197310,2020.0,PMID:33197310,2020,0,0,0,1,,,=,5.99,5.99,0.0,0.0,1.0,5.99,0.0
4466,AGGPTAKEWABCFB_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.68231,COC1(CC(C)C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,AGGPTAKEWABCFB,AGGPTAKEWABCFB-UHFFFAOYSA-N,"InChI=1S/C35H47N5O6S2/c1-26(2)24-35(46-5)18-21-39(22-19-35)29-13-11-27(12-14-29)34(41)37-48(44,45)31-15-16-32(33(23-31)40(42)43)36-28(17-20-38(3)4)25-47-30-9-7-6-8-10-30/h6-16,23,26,28,36H,17-22,24-25H2,1-5H3,(H,37,41)","""AuxInfo=1/1/N:6,7,30,31,1,37,36,38,35,39,13,45,12,46,22,23,27,8,48,28,9,47,44,4,32,5,14,26,11,34,21,24,40,15,3,25,17,29,10,41,16,42,43,19,20,2,33,18/E:(1,2)(3,4)(7,8)(9,10)(11,12)(13,14)(18,19)(21,22)(42,43)(44,45)/CRV:40.5,48.6/rA:48COCCCCCCCNCCCCCONSOOCCCCNCCCNCCCSCCCCCCCN+OO-CCCCC/rB:s1;s2;s3;s4;s5;s5;s3;s8;s9;s10;d11;s12;d13;s14;d15;s15;s17;d18;d18;s18;d21;s22;d23;s24;s25;s26;s27;s28;s29;s29;s26;s32;s33;d34;s35;d36;s37;s34d38;s24;s40;d41;s41;s21d40;s14;s11d45;s10;s3s47;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,EntrezID:596;ChEMBL:CHEMBL4860,P10415,WT,CHEMBL909602,PMID:17256834,2007.0,PMID:17256834,2007,0,0,0,1,,,=,7.25,7.25,0.0,0.0,1.0,7.25,0.0
5302,AHKDJQYHVWSRLT_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.221675,O=C1c2c(cccc2)C(=O)c2c1cc(O)c(O)c2O,AHKDJQYHVWSRLT,AHKDJQYHVWSRLT-UHFFFAOYSA-N,"InChI=1S/C14H8O5/c15-9-5-8-10(14(19)13(9)18)12(17)7-4-2-1-3-6(7)11(8)16/h1-5,15,18-19H","""AuxInfo=1/0/N:7,6,8,5,13,3,4,12,14,11,2,9,16,18,15,1,10,17,19/rA:19OCCCCCCCCOCCCCOCOCO/rB:d1;s2;d3;s4;d5;s6;s3d7;s4;d9;s9;s2d11;s12;d13;s14;s14;s16;s11d16;s18;/rC:;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL2437893,PMID:23167494,2012.0,PMID:24095762,2013,0,0,0,1,,,=,5.88,5.88,0.0,0.0,1.0,5.88,0.0
5921,AIPCKDBTGKGQEY_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.379725,CC1=CC(C=C(Cl)c2ccc(C(=O)O)cc2)C2(C(=O)O)C=CC(CCOC(=O)Nc3cccc(Br)c3)CC2C1,AIPCKDBTGKGQEY,AIPCKDBTGKGQEY-UHFFFAOYSA-N,"InChI=1S/C30H29BrClNO6/c1-18-13-22-15-19(10-12-39-29(38)33-25-4-2-3-24(31)17-25)9-11-30(22,28(36)37)23(14-18)16-26(32)20-5-7-21(8-6-20)27(34)35/h2-9,11,14,16-17,19,22-23H,10,12-13,15H2,1H3,(H,33,38)(H,34,35)(H,36,37)","""AuxInfo=1/1/N:1,32,33,31,9,16,10,15,22,24,21,25,39,3,37,5,36,2,23,8,11,38,4,34,30,6,12,18,27,17,35,7,29,13,14,19,20,28,26/E:(5,6)(7,8)(34,35)(36,37)/rA:39CCCCCCClCCCCCOOCCCCOOCCCCCOCONCCCCCBrCCCC/rB:s1;w?2;s3;s4;w?5;s6;s6;d8;s9;d10;s11;d12;s12;s11;s8d15;s4;s17;d18;s18;s17;w?21;s22;s23;s24;s25;s26;d27;s27;s29;d30;s31;d32;s33;s34;s30d34;s23;s17s37;s2s38;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4148756,PMID:29453135,2018.0,PMID:29453135,2018,0,0,0,1,,,=,6.43,6.43,0.0,0.0,1.0,6.43,0.0
6737,AJWKZOOIFOHKSK_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.298856,O=C(NS(=O)(=O)c1ccc(NC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CCOC3)CC2)cc1,AJWKZOOIFOHKSK,AJWKZOOIFOHKSK-UHFFFAOYSA-N,"InChI=1S/C34H38ClN5O7S/c35-27-5-1-24(2-6-27)31-13-20-47-23-26(31)22-38-14-16-39(17-15-38)29-7-3-25(4-8-29)34(41)37-48(44,45)30-9-10-32(33(21-30)40(42)43)36-28-11-18-46-19-12-28/h1-10,21,28,36H,11-20,22-23H2,(H,37,41)","""AuxInfo=1/1/N:35,40,24,48,36,39,25,47,8,9,13,17,41,29,45,28,46,14,16,42,22,31,44,34,23,32,37,12,26,7,33,10,18,2,38,11,3,30,27,19,1,20,21,5,6,15,43,4/E:(1,2)(3,4)(5,6)(7,8)(11,12)(14,15)(16,17)(18,19)(42,43)(44,45)/CRV:40.5,48.6/rA:48OCNSOOCCCCNCCCOCCCN+OO-CCCCCNCCNCCCCCCCClCCCCOCCCCC/rB:d1;s2;s3;d4;d4;s4;d7;s8;d9;s10;s11;s12;s13;s14;s15;s12s16;s10;s18;d19;s19;s7d18;s2;d23;s24;d25;s26;s27;s28;s29;s30;s31;w?32;s33;d34;s35;d36;s37;s37;s34d39;s33;s41;s42;s32s43;s30;s27s45;s26;s23d47;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL3795377,PMID:26988306,2016.0,PMID:26988306,2016,0,0,0,1,,,=,7.23,7.23,0.0,0.0,1.0,7.23,0.0
6800,AJZSQFNARNIXQQ_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.442568;ChEMBL31.compound.442569,CC(C)=CCCC1=CCC(C(=O)N(C)O)C(c2ccccc2)C1,AJZSQFNARNIXQQ,AJZSQFNARNIXQQ-UHFFFAOYSA-N,"InChI=1S/C20H27NO2/c1-15(2)8-7-9-16-12-13-18(20(22)21(3)23)19(14-16)17-10-5-4-6-11-17/h4-6,8,10-12,18-19,23H,7,9,13-14H2,1-3H3","""AuxInfo=1/0/N:1,3,14,20,19,21,5,4,6,18,22,8,9,23,2,7,17,10,16,11,13,12,15/E:(1,2)(5,6)(10,11)/rA:23CCCCCCCCCCCONCOCCCCCCCC/rB:s1;s2;w?2;s4;s5;s6;w?7;s8;s9;s10;d11;s11;s13;s13;s10;s16;d17;s18;d19;s20;s17d21;s7s16;/rC:;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860;ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4617559,PMID:32035700,2020.0,PMID:32035700,2020,0;0,0;0,0;0,1;1,,,=,5.68;5.64,5.66,0.0282842712474622,0.0200000000000002,2.0,5.66,0.02
8538,AMSQXXYYFNYRAR_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.191454,Cc1cc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)n(C)c(C)c5C(=O)NCCCN5CCN(C)CC5)c4)CC3)cc2)ccc1,AMSQXXYYFNYRAR,AMSQXXYYFNYRAR-UHFFFAOYSA-N,"InChI=1S/C44H52ClN7O3S/c1-32-8-5-11-40(30-32)56(54,55)47-37-16-18-38(19-17-37)51-26-28-52(29-27-51)39-10-6-9-35(31-39)42-41(33(2)49(4)43(42)34-12-14-36(45)15-13-34)44(53)46-20-7-21-50-24-22-48(3)23-25-50/h5-6,8-19,30-31,47H,7,20-29H2,1-4H3,(H,46,53)","""AuxInfo=1/1/N:1,34,46,32,55,19,40,56,20,18,54,25,30,26,29,10,53,11,52,39,41,44,47,43,48,14,51,15,50,3,49,2,33,24,21,27,9,12,17,4,35,22,23,36,28,38,8,45,31,42,13,16,37,6,7,5/E:(12,13)(14,15)(16,17)(18,19)(22,23)(24,25)(26,27)(28,29)(54,55)/CRV:56.6/rA:56CCCCSOONCCCCNCCNCCCCCCCCCCCClCCNCCCCCONCCCNCCNCCCCCCCCCCC/rB:s1;d2;s3;s4;d5;d5;s5;s8;d9;s10;d11;s12;s13;s14;s15;s16;d17;s18;d19;s20;s21;d22;s23;d24;s25;d26;s27;s27;s24d29;s23;s31;s31;s33;s22d33;s35;d36;s36;s38;s39;s40;s41;s42;s43;s44;s45;s45;s42s47;s17d21;s16;s13s50;s12;s9d52;d4;s54;s2d55;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860;ChEMBL:CHEMBL4860,P10415,WT,CHEMBL2173961,PMID:23030453,2012.0,PMID:23030453,2012,0,0,0,1,,,=,6.75,6.75,0.0,0.0,1.0,6.75,0.0
8960,ANOQJYMBYVQNCB_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.257532,O=C(NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)cc1)C(Cc1c[nH]c2c1cccc2)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)cc3)cc2)SC1=S,ANOQJYMBYVQNCB,ANOQJYMBYVQNCB-UHFFFAOYSA-N,"InChI=1S/C33H22Cl2N4O6S3/c34-23-11-9-21(10-12-23)20-7-5-19(6-8-20)15-30-32(41)38(33(46)47-30)29(16-22-18-36-27-4-2-1-3-25(22)27)31(40)37-48(44,45)24-13-14-26(35)28(17-24)39(42)43/h1-15,17-18,29,36H,16H2,(H,37,40)","""AuxInfo=1/1/N:25,26,24,27,34,45,35,44,38,43,39,42,16,15,32,18,8,20,33,36,37,19,40,7,23,13,22,9,17,31,2,29,47,41,14,21,3,28,10,1,30,11,12,5,6,48,46,4/E:(5,6)(7,8)(9,10)(11,12)(42,43)(44,45)/CRV:39.5,48.6/rA:48OCNSOOCCCN+OO-CClCCCCCCNCCCCCCNCOCCCCCCCCCCClCCCCSCS/rB:d1;s2;s3;d4;d4;s4;d7;s8;s9;d10;s10;d9;s13;s13;s7d15;s2;s17;s18;d19;s20;s21;s19d22;s23;d24;s25;s22d26;s17;s28;d29;s29;w?31;s32;d33;s34;d35;s36;d37;s38;d39;s40;s40;s37d42;s36;s33d44;s31;s28s46;d47;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL3405857,PMID:25818766,2015.0,PMID:25818766,2015,0,0,0,1,,,=,5.25,5.25,0.0,0.0,1.0,5.25,0.0
10515,APUJKYQKFDVLIU_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.68254,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccccc4F)CC3)cc2)cc1[N+](=O)[O-],APUJKYQKFDVLIU,APUJKYQKFDVLIU-UHFFFAOYSA-N,"InChI=1S/C37H40FN5O5S2/c1-41(2)21-20-30(26-49-32-9-4-3-5-10-32)39-35-17-16-33(25-36(35)43(45)46)50(47,48)40-37(44)28-12-14-31(15-13-28)42-22-18-27(19-23-42)24-29-8-6-7-11-34(29)38/h3-17,24-25,30,39H,18-23,26H2,1-2H3,(H,40,44)","""AuxInfo=1/1/N:1,3,12,11,13,37,38,36,10,14,39,27,45,28,44,18,17,32,42,5,4,31,43,34,46,7,33,26,35,6,29,9,19,40,16,47,24,41,15,23,2,30,48,25,49,50,21,22,8,20/E:(1,2)(4,5)(9,10)(12,13)(14,15)(18,19)(22,23)(45,46)(47,48)/CRV:43.5,50.6/rA:50CNCCCCCSCCCCCCNCCCCSOONCOCCCCNCCCCCCCCCCFCCCCCCN+OO-/rB:s1;s2;s2;s4;s5;s6;s7;s8;d9;s10;d11;s12;s9d13;s6;s15;d16;s17;d18;s19;d20;d20;s20;s23;d24;s24;d26;s27;d28;s29;s30;s31;s32;w?33;s34;d35;s36;d37;s38;s35d39;s40;s33;s30s42;s29;s26d44;s19;s16d46;s47;d48;s48;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,EntrezID:596;ChEMBL:CHEMBL4860,P10415,WT,CHEMBL909602,PMID:17256834,2007.0,PMID:17256834,2007,0,0,0,1,,,=,8.6,8.6,0.0,0.0,1.0,8.6,0.0
