,SMILES,InChIKey,connectivity,pchembl_value_Mean,Class
0,Cc1cc(=O)c2c(o1)c(CC(C)C)c(O)c(O)c2O,ADNKLAAIRXDEOP-UHFFFAOYSA-N,ADNKLAAIRXDEOP,6.14,Non-inhibitor
1,N#CC1=C(O)c2cccc3c(Sc4ccc(Br)cc4)ccc(c23)C1=NCCC(=O)NCc1cc(C(=O)O)ccc1,AEAIKBHAZFBIFT-UHFFFAOYSA-N,AEAIKBHAZFBIFT,5.99,Non-inhibitor
2,COC1(CC(C)C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,AGGPTAKEWABCFB-UHFFFAOYSA-N,AGGPTAKEWABCFB,7.25,Inhibitor
3,O=C1c2c(cccc2)C(=O)c2c1cc(O)c(O)c2O,AHKDJQYHVWSRLT-UHFFFAOYSA-N,AHKDJQYHVWSRLT,5.88,Non-inhibitor
4,CC1=CC(C=C(Cl)c2ccc(C(=O)O)cc2)C2(C(=O)O)C=CC(CCOC(=O)Nc3cccc(Br)c3)CC2C1,AIPCKDBTGKGQEY-UHFFFAOYSA-N,AIPCKDBTGKGQEY,6.43,Non-inhibitor
5,O=C(NS(=O)(=O)c1ccc(NC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CCOC3)CC2)cc1,AJWKZOOIFOHKSK-UHFFFAOYSA-N,AJWKZOOIFOHKSK,7.23,Inhibitor
6,CC(C)=CCCC1=CCC(C(=O)N(C)O)C(c2ccccc2)C1,AJZSQFNARNIXQQ-UHFFFAOYSA-N,AJZSQFNARNIXQQ,5.66,Non-inhibitor
7,Cc1cc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)n(C)c(C)c5C(=O)NCCCN5CCN(C)CC5)c4)CC3)cc2)ccc1,AMSQXXYYFNYRAR-UHFFFAOYSA-N,AMSQXXYYFNYRAR,6.75,Inhibitor
8,O=C(NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)cc1)C(Cc1c[nH]c2c1cccc2)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)cc3)cc2)SC1=S,ANOQJYMBYVQNCB-UHFFFAOYSA-N,ANOQJYMBYVQNCB,5.25,Non-inhibitor
9,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccccc4F)CC3)cc2)cc1[N+](=O)[O-],APUJKYQKFDVLIU-UHFFFAOYSA-N,APUJKYQKFDVLIU,8.6,Inhibitor
10,Cc1cc(OCCCn2ccc3c2cccc3OCc2cccc(C(=O)O)c2)cc(C)c1Cl,AQOVMEUBPMLELA-UHFFFAOYSA-N,AQOVMEUBPMLELA,6.85,Inhibitor
11,O=C(Nc1nc2c(cccc2)s1)c1c2CN(c3nc(C(=O)O)c(CCOc4ccc(-n5ncc6c5ncnc6)cc4)s3)CCc2ccc1,AUSCDMYCFSINPV-UHFFFAOYSA-N,AUSCDMYCFSINPV,7.05,Inhibitor
12,CCCOc1ccc(CC(NC(=O)c2cn(Cc3ccc(-c4ccccc4)cc3)c3c2cccc3)C(=O)NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1,AVBCTPBVIWXTJA-UHFFFAOYSA-N,AVBCTPBVIWXTJA,5.25,Non-inhibitor
13,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccccn4)CC3)cc2)cc1[N+](=O)[O-],AXRKKWXXRAOBEV-UHFFFAOYSA-N,AXRKKWXXRAOBEV,7.34,Inhibitor
14,O=C(NC(Cc1ccccc1)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c1cccc2,AZRHKOKLZALSIL-UHFFFAOYSA-N,AZRHKOKLZALSIL,6.58,Inhibitor
15,COc1ccccc1N1C(=O)C(=Cc2ccc(OCC(=O)Nc3ccc(C(=O)O)cc3)cc2)SC1=S,BCMBEMVUWOEPBA-UHFFFAOYSA-N,BCMBEMVUWOEPBA,5.0,Non-inhibitor
16,Cc1cc(OCCCc2c3C(=O)N(c4cc(C(=O)O)cc5c4ccn5C)CCCn3c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,BDINUPBROUJUMH-UHFFFAOYSA-N,BDINUPBROUJUMH,6.02,Non-inhibitor
17,O=C(C=Cc1ccccc1)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,BDOWOEXBFLRGBF-UHFFFAOYSA-N,BDOWOEXBFLRGBF,5.31,Non-inhibitor
18,COc1cc(OC(C)C)c(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)cc1,BDUHCSBCVGXTJM-UHFFFAOYSA-N,BDUHCSBCVGXTJM,4.82,Non-inhibitor
19,Cc1cc(OCCCc2c3C(=O)N(c4ccc(C(=O)O)c5c4n(C)cc5)CCCn3c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,BEMIPHFYAIZMHC-UHFFFAOYSA-N,BEMIPHFYAIZMHC,6.36,Non-inhibitor
20,Cc1cccc(C)c1N1C(=O)C(=Cc2ccc(OCc3ccc(C(=O)O)cc3)cc2)SC1=S,BFUDACNOTBJKRG-UHFFFAOYSA-N,BFUDACNOTBJKRG,6.05,Non-inhibitor
