,Activity_ID,Quality,source,CID,SMILES,connectivity,InChIKey,InChI,InChI_AuxInfo,target_id,TID,accession,Protein_Type,AID,doc_id,Year,all_doc_ids,all_years,type_IC50,type_EC50,type_KD,type_Ki,type_other,Activity_class,relation,pchembl_value,pchembl_value_Mean,pchembl_value_StdDev,pchembl_value_SEM,pchembl_value_N,pchembl_value_Median,pchembl_value_MAD
166,AAHPIJMQJAZYTM_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.202817,O=C(O)c1c(Cl)c2c(cc(Cl)cc2)s1,AAHPIJMQJAZYTM,AAHPIJMQJAZYTM-UHFFFAOYSA-N,"InChI=1S/C9H4Cl2O2S/c10-4-1-2-5-6(3-4)14-8(7(5)11)9(12)13/h1-3H,(H,12,13)","""AuxInfo=1/1/N:12,13,9,10,7,8,5,4,2,11,6,1,3,14/E:(12,13)/rA:14OCOCCClCCCCClCCS/rB:d1;s2;s2;d4;s5;s5;d7;s8;d9;s10;s10;s7d12;s4s8;/rC:;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL2320307,PMID:23244564,2013.0,PMID:23244564,2013,0,0,0,1,,,=,4.23,4.23,0.0,0.0,1.0,4.23,0.0
720,ABARBJMWBRVAMV_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.453290,CC1CC=C(F)C(CO)N2CCC2CN2CC3(CCCc4c3ccc(Cl)c4)COc3ccc(cc32)C(=O)NS(=O)(=O)C1C,ABARBJMWBRVAMV,ABARBJMWBRVAMV-UHFFFAOYSA-N,"InChI=1S/C32H39ClFN3O5S/c1-20-5-9-27(34)29(17-38)37-13-11-25(37)16-36-18-32(12-3-4-22-14-24(33)7-8-26(22)32)19-42-30-10-6-23(15-28(30)36)31(39)35-43(40,41)21(20)2/h6-10,14-15,20-21,25,29,38H,3-5,11-13,16-19H2,1-2H3,(H,35,39)","""AuxInfo=1/1/N:1,43,19,20,3,32,24,23,4,31,12,18,11,27,34,14,8,16,28,2,42,21,33,25,13,22,5,35,7,30,36,17,26,6,38,15,10,9,37,40,41,29,39/E:(40,41)/CRV:43.6/rA:43CCCCCFCCONCCCCNCCCCCCCCCCClCCOCCCCCCCONSOOCC/rB:s1;s2;s3;w?4;s5;s5;s7;s8;s7;s10;s11;s10s12;s13;s14;s15;s16;s17;s18;s19;s20;s17d21;s22;d23;s24;s25;s21d25;s17;s28;s29;d30;s31;d32;s33;s15s30d34;s33;d36;s36;s38;d39;d39;s2s39;s42;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL4689531,PMID:33738058,2021.0,PMID:33738058,2021,0,0,0,1,,,=,9.64,9.64,0.0,0.0,1.0,9.64,0.0
1665,ACNZOBNVDMFAHH_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.289331,Cc1ccc(S(=O)(=O)NC(=O)C(Cc2ccccc2)NC(=O)C2CC(Oc3ccc(-c4ccccc4)cc3)CN2C(=O)OC(C)(C)C)cc1,ACNZOBNVDMFAHH,ACNZOBNVDMFAHH-UHFFFAOYSA-N,"InChI=1S/C38H41N3O7S/c1-26-15-21-32(22-16-26)49(45,46)40-35(42)33(23-27-11-7-5-8-12-27)39-36(43)34-24-31(25-41(34)37(44)48-38(2,3)4)47-30-19-17-29(18-20-30)28-13-9-6-10-14-28/h5-22,31,33-34H,23-25H2,1-4H3,(H,39,43)(H,40,42)","""AuxInfo=1/1/N:1,45,46,47,17,34,16,18,33,35,15,19,32,36,3,49,29,37,28,38,4,48,13,24,39,2,14,31,30,27,25,5,12,23,10,21,41,44,20,9,40,11,22,42,7,8,26,43,6/E:(2,3,4)(7,8)(9,10)(11,12)(13,14)(15,16)(17,18)(19,20)(21,22)(45,46)/CRV:49.6/rA:49CCCCCSOONCOCCCCCCCCNCOCCCOCCCCCCCCCCCCCNCOOCCCCCC/rB:s1;d2;s3;d4;s5;d6;d6;s6;s9;d10;s10;s12;s13;d14;s15;d16;s17;s14d18;s12;s20;d21;s21;s23;s24;s25;s26;d27;s28;d29;s30;d31;s32;d33;s34;s31d35;s30;s27d37;s25;s23s39;s40;d41;s41;s43;s44;s44;s44;s5;s2d48;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL3736962,PMID:26620718,2015.0,PMID:26620718,2015,0,0,0,1,,,=,5.48,5.48,0.0,0.0,1.0,5.48,0.0
2146,ADAKEJQIRIAPEC_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.297299,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)c3ccc(C(=O)O)o3)[nH]c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,ADAKEJQIRIAPEC,ADAKEJQIRIAPEC-UHFFFAOYSA-N,"InChI=1S/C31H30Cl2N4O7S/c1-15-13-19(14-16(2)27(15)33)43-12-6-7-20-21-8-9-22(32)26(25-17(3)35-37(5)18(25)4)28(21)34-29(20)30(38)36-45(41,42)24-11-10-23(44-24)31(39)40/h8-11,13-14,34H,6-7,12H2,1-5H3,(H,36,38)(H,39,40)","""AuxInfo=1/1/N:1,43,40,35,37,7,8,28,29,19,18,6,3,41,2,42,39,34,4,9,27,30,20,17,33,32,44,26,10,11,21,31,45,25,38,13,36,12,22,23,15,16,5,24,14/E:(1,2)(13,14)(15,16)(39,40)(41,42)/CRV:45.6/rA:45CCCCOCCCCCCONSOOCCCCCOOONCCCCCClCCCCNCNCCCCCCCl/rB:s1;d2;s3;s4;s5;s6;s7;s8;d9;s10;d11;s11;s13;d14;d14;s14;d17;s18;d19;s20;d21;s21;s17s20;s10;s25;s9d26;s27;d28;s29;s30;s26d30;s32;d33;s34;s34;s36;s36;s33d38;s39;d4;s41;s42;s2d42;s44;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361;ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL3789423,PMID:26878343,2016.0,PMID:26878343,2016,0,0,0,1,,,=,9.11,9.11,0.0,0.0,1.0,9.11,0.0
2739,ADNKLAAIRXDEOP_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.74168,Cc1cc(=O)c2c(o1)c(CC(C)C)c(O)c(O)c2O,ADNKLAAIRXDEOP,ADNKLAAIRXDEOP-UHFFFAOYSA-N,"InChI=1S/C14H16O5/c1-6(2)4-8-11(16)13(18)12(17)10-9(15)5-7(3)19-14(8)10/h5-6,16-18H,4H2,1-3H3","""AuxInfo=1/0/N:12,13,1,10,3,11,2,9,4,6,14,18,16,7,5,15,19,17,8/E:(1,2)/rA:19CCCCOCCOCCCCCCOCOCO/rB:s1;d2;s3;d4;s4;d6;s2s7;s7;s9;s10;s11;s11;d9;s14;s14;s16;s6d16;s18;/rC:;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361;ChEMBL:CHEMBL4361;EntrezID:4170,Q07820,WT,CHEMBL2345534,PMID:17552510,2007.0,PMID:23220642,2013,0,0,0,1,,,=,5.77,5.77,0.0,0.0,1.0,5.77,0.0
2774,ADPHLFYFNVTAAV_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.289325,CC(C)(C)OC(=O)N1CC(Oc2ccc(-c3ccccc3)cc2)CC1C(=O)NC(Cc1c[nH]c2c1cccc2)C(=O)NS(=O)(=O)c1ccccc1,ADPHLFYFNVTAAV,ADPHLFYFNVTAAV-UHFFFAOYSA-N,"InChI=1S/C39H40N4O7S/c1-39(2,3)50-38(46)43-25-30(49-29-20-18-27(19-21-29)26-12-6-4-7-13-26)23-35(43)37(45)41-34(22-28-24-40-33-17-11-10-16-32(28)33)36(44)42-51(47,48)31-14-8-5-9-15-31/h4-21,24,30,34-35,40H,22-23,25H2,1-3H3,(H,41,45)(H,42,44)","""AuxInfo=1/1/N:1,3,4,19,49,18,20,48,50,37,38,17,21,47,51,36,39,14,22,13,23,30,24,32,9,16,15,31,12,10,46,35,34,29,25,40,26,6,2,33,28,42,8,41,27,7,44,45,11,5,43/E:(1,2,3)(6,7)(8,9)(12,13)(14,15)(18,19)(20,21)(47,48)/CRV:51.6/rA:51CCCCOCONCCOCCCCCCCCCCCCCCCONCCCCNCCCCCCCONSOOCCCCCC/rB:s1;s2;s2;s2;s5;d6;s6;s8;s9;s10;s11;d12;s13;d14;s15;d16;s17;d18;s19;s16d20;s15;s12d22;s10;s8s24;s25;d26;s26;s28;s29;s30;d31;s32;s33;s31d34;s35;d36;s37;s34d38;s29;d40;s40;s42;d43;d43;s43;d46;s47;d48;s49;s46d50;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL3736962,PMID:26620718,2015.0,PMID:26620718,2015,0,0,0,1,,,=,5.5,5.5,0.0,0.0,1.0,5.5,0.0
2829,ADSBNQANHZZEKS_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.261750,Cc1cc(OCCCc2c(C(=O)O)n3CCCc4cccc2c43)cc(C)c1Cl,ADSBNQANHZZEKS,ADSBNQANHZZEKS-UHFFFAOYSA-N,"InChI=1S/C23H24ClNO3/c1-14-12-17(13-15(2)20(14)24)28-11-5-9-19-18-8-3-6-16-7-4-10-25(21(16)18)22(19)23(26)27/h3,6,8,12-13H,4-5,7,9-11H2,1-2H3,(H,26,27)","""AuxInfo=1/1/N:1,26,20,16,7,19,17,21,8,15,6,3,24,2,25,18,4,22,9,27,23,10,11,28,14,12,13,5/E:(1,2)(12,13)(14,15)(26,27)/rA:28CCCCOCCCCCCOONCCCCCCCCCCCCCCl/rB:s1;d2;s3;s4;s5;s6;s7;s8;d9;s10;d11;s11;s10;s14;s15;s16;s17;d18;s19;d20;s9s21;s14s18d22;d4;s24;s25;s2d25;s27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL3429294,PMID:25844895,2015.0,PMID:25844895,2015,0,0,0,1,,,=,6.96,6.96,0.0,0.0,1.0,6.96,0.0
4088,AFQRCYMVRHWZKV_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.407788,O=C(O)c1c(NS(=O)(=O)c2ccc(C3CCCCC3)cc2)ccc(SCCc2ccccc2)c1,AFQRCYMVRHWZKV,AFQRCYMVRHWZKV-UHFFFAOYSA-N,"InChI=1S/C27H29NO4S2/c29-27(30)25-19-23(33-18-17-20-7-3-1-4-8-20)13-16-26(25)28-34(31,32)24-14-11-22(12-15-24)21-9-5-2-6-10-21/h1,3-4,7-8,11-16,19,21,28H,2,5-6,9-10,17-18H2,(H,29,30)","""AuxInfo=1/1/N:31,17,30,32,16,18,29,33,15,19,12,20,23,11,21,22,27,26,34,28,14,13,24,10,4,5,2,6,1,3,8,9,25,7/E:(3,4)(5,6)(7,8)(9,10)(11,12)(14,15)(29,30)(31,32)/CRV:34.6/rA:34OCOCCNSOOCCCCCCCCCCCCCCCSCCCCCCCCC/rB:d1;s2;s2;d4;s5;s6;d7;d7;s7;d10;s11;d12;s13;s14;s15;s16;s17;s14s18;s13;s10d20;s5;d22;s23;s24;s25;s26;s27;d28;s29;d30;s31;s28d32;s4d24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL4344313,PMID:31971799,2020.0,PMID:31971799,2020,0,0,0,1,,,=,7.06,7.06,0.0,0.0,1.0,7.06,0.0
4666,AGPLGMAGZCSFPI_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.360957,Cc1cc(OCCn2ccc3ccc(OCC(=O)O)cc32)cc(C)c1Cl,AGPLGMAGZCSFPI,AGPLGMAGZCSFPI-UHFFFAOYSA-N,"InChI=1S/C20H20ClNO4/c1-13-9-17(10-14(2)20(13)21)25-8-7-22-6-5-15-3-4-16(11-18(15)22)26-12-19(23)24/h3-6,9-11H,7-8,12H2,1-2H3,(H,23,24)","""AuxInfo=1/1/N:1,24,12,13,10,9,7,6,3,22,20,16,2,23,11,14,4,21,17,25,26,8,18,19,5,15/E:(1,2)(9,10)(13,14)(23,24)/rA:26CCCCOCCNCCCCCCOCCOOCCCCCCCl/rB:s1;d2;s3;s4;s5;s6;s7;s8;d9;s10;d11;s12;d13;s14;s15;s16;d17;s17;s14;s8s11d20;d4;s22;s23;s2d23;s25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL4015013,PMID:28343875,2017.0,PMID:28343875,2017,0,0,0,1,,,=,4.93,4.93,0.0,0.0,1.0,4.93,0.0
5303,AHKDJQYHVWSRLT_on_Q07820_WT,High,ChEMBL31,ChEMBL31.compound.221675,O=C1c2c(cccc2)C(=O)c2c1cc(O)c(O)c2O,AHKDJQYHVWSRLT,AHKDJQYHVWSRLT-UHFFFAOYSA-N,"InChI=1S/C14H8O5/c15-9-5-8-10(14(19)13(9)18)12(17)7-4-2-1-3-6(7)11(8)16/h1-5,15,18-19H","""AuxInfo=1/0/N:7,6,8,5,13,3,4,12,14,11,2,9,16,18,15,1,10,17,19/rA:19OCCCCCCCCOCCCCOCOCO/rB:d1;s2;d3;s4;d5;s6;s3d7;s4;d9;s9;s2d11;s12;d13;s14;s14;s16;s11d16;s18;/rC:;;;;;;;;;;;;;;;;;;;""",Q07820_WT,ChEMBL:CHEMBL4361,Q07820,WT,CHEMBL2437894,PMID:23167494,2012.0,PMID:24095762,2013,0,0,0,1,,,=,5.92,5.92,0.0,0.0,1.0,5.92,0.0
