,SMILES,InChIKey,inchi_connectivity,pchembl_value_Mean,Year
0,Cc1cc(=O)c2c(o1)c(CC(C)C)c(O)c(O)c2O,ADNKLAAIRXDEOP-UHFFFAOYSA-N,ADNKLAAIRXDEOP,6.14,2007
1,COC1(CC(C)C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,AGGPTAKEWABCFB-UHFFFAOYSA-N,AGGPTAKEWABCFB,7.25,2007
2,O=C1c2c(cccc2)C(=O)c2c1cc(O)c(O)c2O,AHKDJQYHVWSRLT-UHFFFAOYSA-N,AHKDJQYHVWSRLT,5.88,2012
3,O=C(NS(=O)(=O)c1ccc(NC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CCOC3)CC2)cc1,AJWKZOOIFOHKSK-UHFFFAOYSA-N,AJWKZOOIFOHKSK,7.23,2016
4,Cc1cc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)n(C)c(C)c5C(=O)NCCCN5CCN(C)CC5)c4)CC3)cc2)ccc1,AMSQXXYYFNYRAR-UHFFFAOYSA-N,AMSQXXYYFNYRAR,6.75,2012
5,O=C(NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)cc1)C(Cc1c[nH]c2c1cccc2)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)cc3)cc2)SC1=S,ANOQJYMBYVQNCB-UHFFFAOYSA-N,ANOQJYMBYVQNCB,5.25,2015
6,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccccc4F)CC3)cc2)cc1[N+](=O)[O-],APUJKYQKFDVLIU-UHFFFAOYSA-N,APUJKYQKFDVLIU,8.6,2007
7,O=C(Nc1nc2c(cccc2)s1)c1c2CN(c3nc(C(=O)O)c(CCOc4ccc(-n5ncc6c5ncnc6)cc4)s3)CCc2ccc1,AUSCDMYCFSINPV-UHFFFAOYSA-N,AUSCDMYCFSINPV,7.05,2014
8,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccccn4)CC3)cc2)cc1[N+](=O)[O-],AXRKKWXXRAOBEV-UHFFFAOYSA-N,AXRKKWXXRAOBEV,7.34,2007
9,COc1ccccc1N1C(=O)C(=Cc2ccc(OCC(=O)Nc3ccc(C(=O)O)cc3)cc2)SC1=S,BCMBEMVUWOEPBA-UHFFFAOYSA-N,BCMBEMVUWOEPBA,5.0,2015
10,O=C(C=Cc1ccccc1)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,BDOWOEXBFLRGBF-UHFFFAOYSA-N,BDOWOEXBFLRGBF,5.31,2016
11,COc1cc(OC(C)C)c(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)cc1,BDUHCSBCVGXTJM-UHFFFAOYSA-N,BDUHCSBCVGXTJM,4.82,2016
12,Cc1cccc(C)c1N1C(=O)C(=Cc2ccc(OCc3ccc(C(=O)O)cc3)cc2)SC1=S,BFUDACNOTBJKRG-UHFFFAOYSA-N,BFUDACNOTBJKRG,6.05,2015
13,CC(C)c1c(O)c(O)c(O)c(C(=O)N2CCc3c(cccc3)C2)c1,BHMAXGYZHGTXAG-UHFFFAOYSA-N,BHMAXGYZHGTXAG,5.51,2007
14,O=C(NS(=O)(=O)c1ccccc1)C(Cc1c[nH]c2c1cccc2)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)cc3)cc2)SC1=S,BJRJXKGVHIMLKX-UHFFFAOYSA-N,BJRJXKGVHIMLKX,6.33,2015
15,COc1ccccc1CN1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,BMFIKSDWRTVGGF-UHFFFAOYSA-N,BMFIKSDWRTVGGF,8.49,2007
16,O=C(NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)cc1)C(Cc1ccc(Br)cc1)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)cc3)cc2)SC1=S,BNOSUTSIOHZGIA-UHFFFAOYSA-N,BNOSUTSIOHZGIA,6.16,2015
17,CCCCN=C1C(=O)NC2=C1c1c3c2cccc3c(Sc2ccc(OC)cc2)cc1,BNTOBHKNATVJRV-UHFFFAOYSA-N,BNTOBHKNATVJRV,6.45,2013
18,N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13,BRPRPURMGRJSHP-UHFFFAOYSA-N,BRPRPURMGRJSHP,6.3933333333333335,2011
19,CCOc1ccc(-c2c(NC(=O)c3ccc(OCC(C)C)cc3)c(C(=O)O)nn2-c2ccc(Oc3ccccc3)cc2)cc1,BRWCOCICLLQFLI-UHFFFAOYSA-N,BRWCOCICLLQFLI,5.98,2016
20,N#CC1=C2C(=NC1=O)c1cccc3c(Oc4ccc(-c5ccccc5)cc4)ccc2c13,BRYQRJBYNBYHAH-UHFFFAOYSA-N,BRYQRJBYNBYHAH,6.56,2011
21,O=C(O)c1c(CCCOc2cccc3ccccc23)c2c3c(ccc2)S(=O)(=O)CCCn13,BTBUZFMVFUFDSU-UHFFFAOYSA-N,BTBUZFMVFUFDSU,4.93,2015
22,Cc1cccc(C)c1N1C(=O)C(=Cc2ccc(OCC(=O)Nc3ccc(C(=O)O)cc3)cc2)SC1=S,BUCIJDGNMNYCHL-UHFFFAOYSA-N,BUCIJDGNMNYCHL,5.12,2015
