,SMILES,InChIKey,inchi_connectivity,pchembl_value_Mean,Year
0,O=C(O)c1c(Cl)c2c(cc(Cl)cc2)s1,AAHPIJMQJAZYTM-UHFFFAOYSA-N,AAHPIJMQJAZYTM,4.23,2013
1,Cc1ccc(S(=O)(=O)NC(=O)C(Cc2ccccc2)NC(=O)C2CC(Oc3ccc(-c4ccccc4)cc3)CN2C(=O)OC(C)(C)C)cc1,ACNZOBNVDMFAHH-UHFFFAOYSA-N,ACNZOBNVDMFAHH,5.48,2015
2,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)c3ccc(C(=O)O)o3)[nH]c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,ADAKEJQIRIAPEC-UHFFFAOYSA-N,ADAKEJQIRIAPEC,9.11,2016
3,Cc1cc(=O)c2c(o1)c(CC(C)C)c(O)c(O)c2O,ADNKLAAIRXDEOP-UHFFFAOYSA-N,ADNKLAAIRXDEOP,5.77,2007
4,CC(C)(C)OC(=O)N1CC(Oc2ccc(-c3ccccc3)cc2)CC1C(=O)NC(Cc1c[nH]c2c1cccc2)C(=O)NS(=O)(=O)c1ccccc1,ADPHLFYFNVTAAV-UHFFFAOYSA-N,ADPHLFYFNVTAAV,5.5,2015
5,Cc1cc(OCCCc2c(C(=O)O)n3CCCc4cccc2c43)cc(C)c1Cl,ADSBNQANHZZEKS-UHFFFAOYSA-N,ADSBNQANHZZEKS,6.96,2015
6,Cc1cc(OCCn2ccc3ccc(OCC(=O)O)cc32)cc(C)c1Cl,AGPLGMAGZCSFPI-UHFFFAOYSA-N,AGPLGMAGZCSFPI,4.93,2017
7,O=C1c2c(cccc2)C(=O)c2c1cc(O)c(O)c2O,AHKDJQYHVWSRLT-UHFFFAOYSA-N,AHKDJQYHVWSRLT,5.92,2012
8,O=C(O)C1=CC(O)C2CC3C(CCC=CCc4ccc(O)cc4)C4C=CC1C2C43,AIMOZZMOIMJWIV-UHFFFAOYSA-N,AIMOZZMOIMJWIV,5.23,2014
9,O=C(O)c1cc(S(=O)(=O)Nc2ccccc2-c2ccccc2)c2ccccc2c1O,AKARBYPGSQOLJR-UHFFFAOYSA-N,AKARBYPGSQOLJR,5.07,2016
10,Cc1cc(OCCCc2c(C(=O)O)n3CCOc4cccc2c43)cc(C)c1Cl,AKECYKAJCUSQLB-UHFFFAOYSA-N,AKECYKAJCUSQLB,7.19,2015
11,Cc1cc(Oc2nc(OCc3ccccc3)c(C(=O)O)cc2)cc(C)c1Cl,AQHLKTAXSUKFMQ-UHFFFAOYSA-N,AQHLKTAXSUKFMQ,5.54,2018
12,Cc1cc(OCCCn2ccc3c2cccc3OCc2cccc(C(=O)O)c2)cc(C)c1Cl,AQOVMEUBPMLELA-UHFFFAOYSA-N,AQOVMEUBPMLELA,6.82,2017
13,Cc1cc(OCCCc2c(C(=O)NCc3cn(C)c(C(=O)O)c3)[nH]c3c2cccc3-c2c(C)n(C)nc2C)cc(C)c1Cl,ASMOXSKXETVZOR-UHFFFAOYSA-N,ASMOXSKXETVZOR,7.62,2015
14,Cc1cc(OCCCn2ccc3ccc(OCCO)cc32)cc(C)c1Cl,ATTXTKISYJQJRJ-UHFFFAOYSA-N,ATTXTKISYJQJRJ,5.68,2017
15,CC(C)Oc1ccc(-c2cc(-c3ccc(OC(C)C)cc3)nc(C(=O)O)c2)cc1,AYCCGUNUDOUHNP-UHFFFAOYSA-N,AYCCGUNUDOUHNP,4.54,2018
16,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)CCNC(=O)CC(C)C)[nH]c3cc(Cl)ccc23)cc(C)c1Cl,AYLQSMGRRXZGPL-UHFFFAOYSA-N,AYLQSMGRRXZGPL,8.0,2016
17,O=[N+]([O-])c1cc([N+](=O)[O-])c2cccnc2c1Oc1c(O)cccc1,AZHFQMWQZSLRTA-UHFFFAOYSA-N,AZHFQMWQZSLRTA,5.55,2008
18,O=C(Nc1cccc(S(=O)(=O)NC2=NCCC2)c1)c1cc(-c2ccco2)nc2ccccc12,AZQHKULVKXKJLP-UHFFFAOYSA-N,AZQHKULVKXKJLP,5.665,2008
19,O=C(NC(Cc1ccccc1)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c1cccc2,AZRHKOKLZALSIL-UHFFFAOYSA-N,AZRHKOKLZALSIL,7.14,2017
20,O=C(O)C1Nc2c(cccc2C(=O)N2CCOCC2)C2C=CCC12,BAFWMUGYCDOMKF-UHFFFAOYSA-N,BAFWMUGYCDOMKF,5.56,2008
21,Cc1nn(-c2ccccc2)c(O)c1C=C1C(=O)NN(c2ccc(F)c(Cl)c2)C1=O,BBHWBMPTHWGEQY-UHFFFAOYSA-N,BBHWBMPTHWGEQY,5.24,2008
22,CCN(CC)c1ccc(NC(=O)c2c(OCC(=O)OC)cccc2)cc1,BBKAJNAGIAWKAH-UHFFFAOYSA-N,BBKAJNAGIAWKAH,5.2,2008
23,O=C(O)C(Cc1ccccc1)N1C(=O)SC(=Cc2cccc(Br)c2)C1=O,BBPCIVHDTKLCKQ-UHFFFAOYSA-N,BBPCIVHDTKLCKQ,6.54,2018
24,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)c3cc(N(C)CCc4ccccc4)ncc3)[nH]c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,BDFSISDMEYIABU-UHFFFAOYSA-N,BDFSISDMEYIABU,7.625,2016
25,Cc1cc(OCCCc2c3C(=O)N(c4cc(C(=O)O)cc5c4ccn5C)CCCn3c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,BDINUPBROUJUMH-UHFFFAOYSA-N,BDINUPBROUJUMH,8.805,2017
26,O=C(C=Cc1ccccc1)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,BDOWOEXBFLRGBF-UHFFFAOYSA-N,BDOWOEXBFLRGBF,5.8,2016
27,Cc1cc(OCCCc2c3C(=O)N(c4ccc(C(=O)O)c5c4n(C)cc5)CCCn3c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,BEMIPHFYAIZMHC-UHFFFAOYSA-N,BEMIPHFYAIZMHC,8.28,2018
28,O=C(O)c1cc2cccc3c2n1CCC3,BFCHTANYIYJEKK-UHFFFAOYSA-N,BFCHTANYIYJEKK,3.88,2015
29,Cc1cccc(C)c1N1C(=O)C(=Cc2ccc(OCc3ccc(C(=O)O)cc3)cc2)SC1=S,BFUDACNOTBJKRG-UHFFFAOYSA-N,BFUDACNOTBJKRG,6.14,2015
30,CS(=O)(=O)Nc1cc(SCC(=O)O)c(O)c2c1cccc2,BFYXRLSWPIICCT-UHFFFAOYSA-N,BFYXRLSWPIICCT,4.12,2014
31,COc1ccc(-c2nc(C(=O)O)cc(-c3ccc(Oc4ccccc4)cc3)c2)cc1,BGJBKBVORPDGOL-UHFFFAOYSA-N,BGJBKBVORPDGOL,4.96,2018
32,COc1cc2c(cc1)n(-c1ccc(-c3ccccc3)cc1)c(C)c2CC(=O)NC(Cc1ccccc1)C(=O)NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)cc1,BGVWDINPRHXDRI-UHFFFAOYSA-N,BGVWDINPRHXDRI,6.32,2017
33,Cc1nn(C)c(COc2ccccc2)c1-c1cccc2c1n(CCN1CCOCC1)c(C(=O)O)c2CCCOc1cccc2ccccc12,BICFZVJFUDVOCT-UHFFFAOYSA-N,BICFZVJFUDVOCT,7.790000000000001,2015
34,Cc1cc(OCCCc2c3C(=O)N(c4ncc(C(=O)O)cc4)CCCn3c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,BNPXLHOIICOUNR-UHFFFAOYSA-N,BNPXLHOIICOUNR,8.065,2018
35,CCCCN=C1C(=O)NC2=C1c1c3c2cccc3c(Sc2ccc(OC)cc2)cc1,BNTOBHKNATVJRV-UHFFFAOYSA-N,BNTOBHKNATVJRV,6.82,2013
36,Cc1cc(OCCCc2c(C(=O)NS(C)(=O)=O)[nH]c3cc(Cl)ccc23)cc(C)c1Cl,BNYCCIRSMLMXSF-UHFFFAOYSA-N,BNYCCIRSMLMXSF,6.68,2016
37,CC(C)Oc1ccc(-c2nc(C(=O)O)cc(-c3ccc(Oc4ccccc4)cc3)c2)cc1,BOGRMKSTPVKXJW-UHFFFAOYSA-N,BOGRMKSTPVKXJW,5.13,2018
38,CC(C)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,BPCUAEBLJFPRKL-UHFFFAOYSA-N,BPCUAEBLJFPRKL,6.42,2008
39,N#CC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(-c5ccccc5)cc4)ccc2c13,BQKPLJHLJLIZCH-UHFFFAOYSA-N,BQKPLJHLJLIZCH,6.08,2011
40,CC(C)(C)c1ccc(OCCCn2ccc3cc(OCc4cc(C(=O)O)ccc4)ccc32)cc1,BRFVXGJMKGSVFI-UHFFFAOYSA-N,BRFVXGJMKGSVFI,6.6,2017
41,N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13,BRPRPURMGRJSHP-UHFFFAOYSA-N,BRPRPURMGRJSHP,6.7058333333333335,2011
42,O=C(O)c1cc(-c2ccc(Oc3ccccc3)cc2)nc(-c2ccc(Br)cc2)c1,BRVNIGIAFOOHJJ-UHFFFAOYSA-N,BRVNIGIAFOOHJJ,5.35,2018
43,CCOc1ccc(-c2c(NC(=O)c3ccc(OCC(C)C)cc3)c(C(=O)O)nn2-c2ccc(Oc3ccccc3)cc2)cc1,BRWCOCICLLQFLI-UHFFFAOYSA-N,BRWCOCICLLQFLI,6.41,2016
44,N#CC1=C2C(=NC1=O)c1cccc3c(Oc4ccc(-c5ccccc5)cc4)ccc2c13,BRYQRJBYNBYHAH-UHFFFAOYSA-N,BRYQRJBYNBYHAH,5.89,2011
45,O=C(O)c1c(CCCOc2ccc(C(F)(F)F)cc2)c2c(cccc2)[nH]1,BSVHSNGREGRCSI-UHFFFAOYSA-N,BSVHSNGREGRCSI,5.0,2013
46,O=C(O)c1c(CCCOc2cccc3ccccc23)c2c3c(ccc2)S(=O)(=O)CCCn13,BTBUZFMVFUFDSU-UHFFFAOYSA-N,BTBUZFMVFUFDSU,7.21,2015
47,CC(C)CC(NC(=O)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c1cccc2)C(=O)NS(=O)(=O)c1ccccc1,BTRVPFGYGJVUQU-UHFFFAOYSA-N,BTRVPFGYGJVUQU,6.22,2017
48,Cc1cc(OCCCc2c(C(=O)O)[nH]c3ccccc23)ccc1,BVRYQMWOWBGBNT-UHFFFAOYSA-N,BVRYQMWOWBGBNT,5.72,2013
49,COc1cc(OC)c(C(=O)C=Cc2cc(OC)c(O)cc2)c(O)c1,BXXKRESPUSMTEI-UHFFFAOYSA-N,BXXKRESPUSMTEI,4.68,2016
50,O=C(O)c1c(CCCOc2ccc3CCCc3c2)c2c(cccc2)[nH]1,BZHDMQWSGAHEGK-UHFFFAOYSA-N,BZHDMQWSGAHEGK,5.54,2013
51,CNC(=O)c1cc2c(cc(OCc3ccccc3C(=O)O)cc2)n1CCCOc1cc(C)c(Cl)c(C)c1,CACHPHLPDPJINV-UHFFFAOYSA-N,CACHPHLPDPJINV,6.05,2017
52,COc1c2ccccc2c(S(=O)(=O)N(CC(C)C)c2ccc(Br)cc2)cc1C(=O)O,CAGFDBIHYMUGFI-UHFFFAOYSA-N,CAGFDBIHYMUGFI,4.63,2016
53,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)CCNC(=O)C3CCCCC3)[nH]c3ccccc23)cc(C)c1Cl,CCINIGNSFDEVOS-UHFFFAOYSA-N,CCINIGNSFDEVOS,6.93,2016
54,O=C(O)c1cc(S(=O)(=O)NCc2cccc(Cl)c2)c2ccccc2c1O,CDPRUQXLZPEQSD-UHFFFAOYSA-N,CDPRUQXLZPEQSD,5.3,2016
55,O=C(O)CCSc1cc(NS(=O)(=O)c2ccc3ccccc3c2)c2ccccc2c1O,CEXOZTDCFRDYOU-UHFFFAOYSA-N,CEXOZTDCFRDYOU,5.95,2014
56,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)CCNC(=O)c3cocc3)[nH]c3cc(Cl)ccc23)cc(C)c1Cl,CGDLPVKXRQHGMX-UHFFFAOYSA-N,CGDLPVKXRQHGMX,7.72,2016
57,CC(C)CC(C(=O)O)N1C(=O)SC(=Cc2cccc(Br)c2)C1=O,CJWMSXUUCYEISJ-UHFFFAOYSA-N,CJWMSXUUCYEISJ,5.67,2018
58,CC(C)Oc1c(N)ccc(C(=O)Nc2c(OC(C)C)nc(C(=O)Nc3ccc(C(=O)O)cc3OC(C)C)cc2)c1,CLABHIBFONXFKY-UHFFFAOYSA-N,CLABHIBFONXFKY,5.75,2017
59,CC(C)Oc1ccc(C(=O)Nc2c(-c3ccc(OCc4ccccc4)cc3)n(-c3ccc(C(C)C)cc3)nc2C(=O)O)cc1,CLACLESTZWRFRK-UHFFFAOYSA-N,CLACLESTZWRFRK,5.58,2016
60,CC(C)(C)c1ccc(OCCn2ccc3ccc(OCC(=O)O)cc32)cc1,CLMJAYQYMYHKCT-UHFFFAOYSA-N,CLMJAYQYMYHKCT,5.09,2017
61,CC(C)C(C(=O)O)N1C(=O)C(=Cc2ccc(Br)cc2)SC1=S,COHIEJLWRGREHV-UHFFFAOYSA-N,COHIEJLWRGREHV,4.220000000000001,2010
62,Cc1nn(C)c(C)c1-c1cccc2c1n(CCN1CCOCC1)c(C(=O)O)c2CCCOc1cccc2ccccc12,CQDRSEXLCHYADG-UHFFFAOYSA-N,CQDRSEXLCHYADG,8.226666666666667,2015
63,CC(=O)Oc1c2ccccc2c(NS(=O)(=O)c2ccc(Br)cc2)cc1SCC(=O)O,CSDWYRAOWGFXHX-UHFFFAOYSA-N,CSDWYRAOWGFXHX,4.52,2014
64,O=C(O)CSc1c(O)c2c(cccc2)c(NS(=O)(=O)c2ccc(Oc3ccccc3)cc2)c1,CTGZINWTGVOSRK-UHFFFAOYSA-N,CTGZINWTGVOSRK,6.446666666666666,2014
65,Cc1ccccc1OCCCc1c(C(=O)O)[nH]c2ccccc12,CTPFNROLYIEEPO-UHFFFAOYSA-N,CTPFNROLYIEEPO,4.82,2013
66,N#CC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(Br)cc4)ccc2c13,CUHJCLMNTIZWTC-UHFFFAOYSA-N,CUHJCLMNTIZWTC,7.31,2011
67,Cc1ccc(C=CC(=O)Nc2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)cc1,CVFWGBJTNLJJTN-UHFFFAOYSA-N,CVFWGBJTNLJJTN,6.2,2016
68,CC(C)C(=O)c1c(O)c(O)c(O)c(C(=O)c2ccc(Oc3ccccc3)cc2)c1,CVVQMBDTMYUWTR-UHFFFAOYSA-N,CVVQMBDTMYUWTR,6.47,2008
69,O=C(c1ccc(Oc2ccccc2)cc1)c1cc(C(=O)c2nc3c(cccc3)s2)c(O)c(O)c1O,CYBLECRKSFPWGB-UHFFFAOYSA-N,CYBLECRKSFPWGB,7.43,2008
70,CCCCCCN=C1C(=O)NC2=C1c1c3c2cccc3c(Sc2ccc(N)cc2)cc1,CYNWXFDDCZREMK-UHFFFAOYSA-N,CYNWXFDDCZREMK,7.53,2013
